,race,distance,restricted_distance,rdiff,adiff,n_cameras
Census Tract 8424,black,798.6999999999999,798.6999999999999,0.0,0.0,0
Census Tract 8403,white,465.0,465.0,0.0,0.0,0
Census Tract 8411,white,294.0,294.0,0.0,0.0,0
Census Tract 8412,white,419.40000000000003,419.40000000000003,0.0,0.0,0
Census Tract 8390,white,153.29999999999998,153.29999999999998,0.0,0.0,0
Census Tract 8382,black,232.6,232.6,0.0,0.0,0
Census Tract 6503.01,white,1081.5,1163.8,7.609801202034208,82.29999999999995,3
Census Tract 5305.03,black,1378.7,1464.1,6.194240951621082,85.39999999999986,3
Census Tract 7608.03,white,1060.3,1060.3,0.0,0.0,0
Census Tract 306.01,white,927.8,1005.9000000000001,8.417762448803638,78.10000000000014,2
Census Tract 306.04,white,874.9999999999999,881.7,0.765714285714304,6.700000000000159,1
Census Tract 208.01,white,920.7,997.2,8.308895405669599,76.5,3
Census Tract 5401.02,black,1358.6,1358.6,0.0,0.0,0
Census Tract 8433,white,390.6,390.6,0.0,0.0,0
Census Tract 5401.01,black,1513.1999999999998,1513.1999999999998,0.0,0.0,0
Census Tract 4402.01,black,841.3,841.3,0.0,0.0,0
Census Tract 802.02,white,340.8,347.5,1.9659624413145504,6.699999999999989,1
Census Tract 701.02,white,542.3,575.9000000000001,6.195832565000948,33.600000000000136,3
Census Tract 315.01,white,807.1999999999999,813.9,0.8300297324083307,6.7000000000000455,1
Census Tract 315.02,white,787.8,794.5000000000001,0.8504696623508707,6.700000000000159,1
Census Tract 8349,black,855.7,855.7,0.0,0.0,0
Census Tract 8348,black,722.0,735.5,1.8698060941828254,13.5,1
Census Tract 1605.02,white,627.3,627.3,0.0,0.0,0
Census Tract 1407.02,white,710.5,710.5,0.0,0.0,0
Census Tract 8420,white,384.5,384.5,0.0,0.0,0
Census Tract 1504.02,white,816.0999999999999,849.1999999999999,4.055875505452766,33.10000000000002,1
Census Tract 8344,black,874.0,900.7,3.0549199084668244,26.700000000000045,1
Census Tract 402.01,white,809.3,862.6,6.585938465340427,53.30000000000007,3
Census Tract 402.02,white,847.0999999999999,928.7,9.63286506905916,81.60000000000014,3
Census Tract 207.02,white,1026.1999999999998,1026.1999999999998,0.0,0.0,0
Census Tract 208.02,white,996.2,1071.8000000000002,7.588837582814708,75.60000000000014,5
Census Tract 203.01,white,1129.4,1165.9,3.2318044979635205,36.5,5
Census Tract 8387,white,480.6,480.6,0.0,0.0,0
Census Tract 206.01,white,1065.8000000000002,1133.9,6.389566522799766,68.09999999999991,5
Census Tract 8415,white,466.7,466.7,0.0,0.0,0
Census Tract 8386,black,362.7,362.7,0.0,0.0,0
Census Tract 8373,black,365.0,365.0,0.0,0.0,0
Census Tract 206.02,white,1061.6000000000001,1188.9,11.991333835719663,127.29999999999995,6
Census Tract 633.01,white,582.5,620.7,6.557939914163098,38.200000000000045,3
Census Tract 8378,black,324.1,324.1,0.0,0.0,0
Census Tract 8374,black,298.4,298.4,0.0,0.0,0
Census Tract 8369,black,396.40000000000003,396.40000000000003,0.0,0.0,0
Census Tract 203.02,white,1138.7,1239.1,8.817072099762875,100.39999999999986,6
Census Tract 209.02,white,1026.6000000000001,1070.0,4.227547243327475,43.399999999999864,2
Census Tract 107.01,white,1160.1,1203.5,3.741056805447814,43.40000000000009,2
Census Tract 301.03,white,971.0,1049.1,8.04325437693099,78.09999999999991,2
Census Tract 633.03,white,551.2,557.9,1.21552975326559,6.699999999999932,1
Census Tract 301.02,white,943.9,1022.0000000000001,8.274181587032539,78.10000000000014,2
Census Tract 105.02,white,1112.6,1161.5,4.395110551860515,48.90000000000009,3
Census Tract 105.03,white,1073.7,1106.8000000000002,3.0827978019931206,33.100000000000136,3
Census Tract 107.02,white,1136.6,1180.0,3.818405771599516,43.40000000000009,2
Census Tract 8371,black,391.3,391.3,0.0,0.0,0
Census Tract 8370,black,345.2,345.2,0.0,0.0,0
Census Tract 102.01,white,1233.3,1277.2,3.559555663666593,43.90000000000009,7
Census Tract 209.01,white,987.8,1115.1,12.887224134440167,127.29999999999995,5
Census Tract 404.01,white,784.4999999999999,882.2,12.45379222434674,97.70000000000016,3
Census Tract 2106.02,white,504.3999999999999,516.4,2.3790642347343494,12.000000000000057,2
Census Tract 1605.01,white,672.4000000000001,672.4000000000001,0.0,0.0,0
Census Tract 1913.02,white,907.0000000000001,1016.4000000000001,12.061742006615212,109.39999999999998,3
Census Tract 1906.02,white,887.8999999999999,1006.3,13.334835003941897,118.40000000000009,5
Census Tract 8402,white,317.8,317.8,0.0,0.0,0
Census Tract 5305.01,black,1377.2,1389.7,0.9076386871914027,12.5,3
Census Tract 207.01,white,944.0,944.0,0.0,0.0,0
Census Tract 8314,black,526.5,526.5,0.0,0.0,0
Census Tract 8313,black,728.3,814.0999999999999,11.780859535905527,85.79999999999995,4
Census Tract 105.01,white,1170.5,1213.9,3.707817172148662,43.40000000000009,2
Census Tract 8330,white,139.10000000000002,139.10000000000002,0.0,0.0,0
Census Tract 7608.01,white,945.7,945.7,0.0,0.0,0
Census Tract 2521.01,black,625.0,625.0,0.0,0.0,0
Census Tract 2521.02,black,573.1,573.1,0.0,0.0,0
Census Tract 2522.02,black,508.70000000000005,508.70000000000005,0.0,0.0,0
Census Tract 2206.01,white,541.0,565.0,4.436229205175601,24.0,1
Census Tract 2105.02,white,562.1999999999999,603.6,7.363927427961596,41.40000000000009,2
Census Tract 2206.02,white,512.8,545.6,6.396255850234023,32.80000000000007,2
Census Tract 2209.01,white,641.9,667.6,4.003738900140216,25.700000000000045,1
Census Tract 2209.02,white,602.1999999999999,640.2,6.310195948189989,38.000000000000114,1
Census Tract 2004.01,white,732.5999999999999,797.4,8.845208845208855,64.80000000000007,2
Census Tract 2004.02,white,697.3,763.3,9.465079592714758,66.0,2
Census Tract 1913.01,white,991.9000000000001,1101.3000000000002,11.02933763484223,109.40000000000009,3
Census Tract 1906.01,white,947.9000000000001,1096.2,15.645110243696585,148.29999999999995,6
Census Tract 1907.01,white,804.5,906.5,12.678682411435673,102.0,4
Census Tract 1907.02,white,849.8,951.8,12.002824193927983,102.0,4
Census Tract 1904.01,white,962.3,1039.0,7.970487373999798,76.70000000000005,2
Census Tract 1904.02,white,890.6,950.3,6.703346058836732,59.69999999999993,5
Census Tract 8321,white,706.1000000000001,715.1,1.2746069961761628,8.999999999999886,1
Census Tract 8438,white,606.5999999999999,606.5999999999999,0.0,0.0,0
Census Tract 8428,white,712.3,712.3,0.0,0.0,0
Census Tract 3515,white,412.3,412.3,0.0,0.0,0
Census Tract 9801,white,911.2,1023.1,12.280509218612815,111.89999999999998,2
Census Tract 8333,white,184.1,184.1,0.0,0.0,0
Census Tract 8329,white,171.8,171.8,0.0,0.0,0
Census Tract 8380,black,250.7,250.7,0.0,0.0,0
Census Tract 8381,black,223.39999999999998,223.39999999999998,0.0,0.0,0
Census Tract 307.06,white,849.3,856.0,0.7888849640880778,6.7000000000000455,1
Census Tract 3815,black,517.0,517.0,0.0,0.0,0
Census Tract 8331,white,114.69999999999999,114.69999999999999,0.0,0.0,0
Census Tract 8391,white,116.6,116.6,0.0,0.0,0
Census Tract 812.01,white,321.0,327.69999999999993,2.0872274143301968,6.699999999999932,1
Census Tract 1504.01,white,775.0,775.0,0.0,0.0,0
Census Tract 1505.01,white,846.5,846.5,0.0,0.0,0
Census Tract 8430,black,453.6,453.6,0.0,0.0,0
Census Tract 8429,white,331.4,331.4,0.0,0.0,0
Census Tract 8421,black,634.1999999999999,695.0,9.58688111005993,60.80000000000007,1
Census Tract 8419,white,89.3,89.3,0.0,0.0,0
Census Tract 802.01,white,376.00000000000006,382.7,1.781914893617003,6.699999999999932,1
Census Tract 701.01,white,662.3000000000001,853.8,28.914389249584758,191.4999999999999,2
Census Tract 404.02,white,793.7,838.1999999999999,5.606652387551957,44.499999999999886,3
Census Tract 2207.02,white,596.1999999999999,643.4,7.916806440791689,47.200000000000045,2
Census Tract 1403.01,white,696.9000000000001,744.5,6.830248242215512,47.59999999999991,2
Census Tract 8422,white,278.29999999999995,357.1,28.31476823571688,78.80000000000007,1
Census Tract 8437,white,512.5,512.5,0.0,0.0,0
Census Tract 8350,white,910.4999999999999,942.8000000000001,3.547501372872069,32.30000000000018,2
Census Tract 8423,white,230.60000000000002,230.60000000000002,0.0,0.0,0
Census Tract 2302,white,517.8,580.5,12.108922363847055,62.700000000000045,1
Census Tract 8351,white,872.4,904.7,3.702430077945904,32.30000000000007,2
Census Tract 8347,black,654.7,733.5,12.036047044447832,78.79999999999995,1
Census Tract 1510.01,white,775.3,798.8,3.03108474139043,23.5,1
Census Tract 1510.02,white,706.6,730.1,3.3257854514576843,23.5,1
Census Tract 1606.02,white,625.1,652.5,4.383298672212442,27.399999999999977,2
Census Tract 1406.01,white,648.1,682.7,5.338682302113875,34.60000000000002,1
Census Tract 1407.01,white,743.3999999999999,743.3999999999999,0.0,0.0,0
Census Tract 1406.02,white,683.3,717.9,5.063661642031322,34.60000000000002,1
Census Tract 3905,black,681.5,681.5,0.0,0.0,0
Census Tract 8418,black,856.0,936.3000000000001,9.380841121495335,80.30000000000007,1
Census Tract 8425,black,667.6,739.9000000000001,10.829838226482934,72.30000000000007,1
Census Tract 8426,white,602.3,602.3,0.0,0.0,0
Census Tract 8435,white,586.5,586.5,0.0,0.0,0
Census Tract 8434,white,633.7,633.7,0.0,0.0,0
Census Tract 1403.02,white,742.7,793.6,6.853372828867641,50.89999999999998,2
Census Tract 1105.01,white,773.5,773.5,0.0,0.0,0
Census Tract 3904,black,681.0999999999999,681.0999999999999,0.0,0.0,0
Census Tract 8432,white,401.9,401.9,0.0,0.0,0
Census Tract 8408,white,675.4,688.7,1.9692034350014906,13.300000000000068,1
Census Tract 1105.02,white,642.5,642.5,0.0,0.0,0
Census Tract 7608.02,white,1346.1,1519.7,12.896515860634436,173.60000000000014,5
Census Tract 1505.02,white,875.0,908.1000000000001,3.7828571428571585,33.100000000000136,1
Census Tract 8431,white,415.30000000000007,415.30000000000007,0.0,0.0,0
Census Tract 8343,black,999.1,999.1,0.0,0.0,0
Census Tract 8439,black,801.7,801.7,0.0,0.0,0
Census Tract 8312,white,699.8,762.3,8.931123178050871,62.5,3
Census Tract 8316,white,1066.3,1218.9,14.311169464503436,152.60000000000014,6
Census Tract 8315,white,962.3,1129.3999999999999,17.36464719941805,167.0999999999999,6
Census Tract 8311,white,521.0999999999999,521.0999999999999,0.0,0.0,0
Census Tract 8317,white,612.8,612.8,0.0,0.0,1
Census Tract 2715,black,359.9,359.9,0.0,0.0,0
Census Tract 4402.02,black,879.9000000000001,879.9000000000001,0.0,0.0,0
Census Tract 4401.02,black,940.0,940.0,0.0,0.0,0
Census Tract 307.02,white,871.5,910.2,4.440619621342519,38.700000000000045,2
Census Tract 306.03,white,899.3999999999999,917.6000000000001,2.0235712697354096,18.200000000000273,2
Census Tract 307.01,white,920.9,946.0000000000001,2.725594527093076,25.100000000000136,2
Census Tract 8363,black,743.7,743.7,0.0,0.0,0
Census Tract 8383,white,291.4,291.4,0.0,0.0,0
Census Tract 8398,white,413.1,413.1,0.0,0.0,0
Census Tract 8366,black,533.7,556.5,4.272062956717248,22.799999999999955,2
Census Tract 7302.02,black,1005.4000000000001,1033.5,2.7949074995026764,28.09999999999991,2
Census Tract 4301.01,black,926.0,926.0,0.0,0.0,0
Census Tract 633.02,white,576.0,597.5,3.732638888888889,21.5,3
Census Tract 8362,black,735.3,735.3,0.0,0.0,0
Census Tract 714,white,469.80000000000007,476.5,1.4261387824606069,6.699999999999932,1
