,race,distance,restricted_distance,rdiff,adiff,n_cameras
Census Tract 8424,black,1267.8999999999999,1339.4,5.639245997318419,71.50000000000023,4
Census Tract 8403,white,693.3000000000001,734.2,5.899322082792438,40.89999999999998,2
Census Tract 8411,white,860.9000000000001,872.8,1.382274364037619,11.899999999999864,1
Census Tract 8412,white,838.4,858.5,2.3974236641221403,20.100000000000023,2
Census Tract 8390,white,986.0,997.9,1.2068965517241357,11.899999999999977,1
Census Tract 8382,black,932.5,944.4,1.276139410187665,11.899999999999977,1
Census Tract 6503.01,white,347.09999999999997,347.09999999999997,0.0,0.0,0
Census Tract 5305.03,black,1847.9,2004.8000000000004,8.490719194761638,156.90000000000032,7
Census Tract 7608.03,white,1930.6999999999998,1942.6,0.6163567617962445,11.900000000000091,1
Census Tract 306.01,white,1796.9,1881.1000000000001,4.685847849073407,84.20000000000005,2
Census Tract 306.04,white,1744.1000000000001,1756.8999999999999,0.7339028725416964,12.799999999999727,1
Census Tract 208.01,white,1791.1,1879.5000000000002,4.935514488303296,88.40000000000032,4
Census Tract 5401.02,black,1827.8,1899.3,3.911806543385491,71.5,4
Census Tract 8433,white,914.6,926.5000000000001,1.3011152416356977,11.900000000000091,1
Census Tract 5401.01,black,1982.4,2053.9,3.6067393058918484,71.5,4
Census Tract 4402.01,black,1310.5,1382.0,5.455932850057231,71.5,4
Census Tract 802.02,white,1214.5,1231.3,1.3832853025936562,16.799999999999955,2
Census Tract 701.02,white,1412.6999999999998,1458.1999999999998,3.2207828979967443,45.5,4
Census Tract 315.01,white,1676.3000000000002,1689.1,0.7635864702022147,12.799999999999727,1
Census Tract 315.02,white,1656.9,1669.7000000000003,0.7725270082684641,12.800000000000182,1
Census Tract 8349,black,863.8,944.8,9.377170641352166,81.0,4
Census Tract 8348,black,909.8,987.9,8.584304242690704,78.10000000000002,4
Census Tract 1605.02,white,1497.7,1509.6000000000001,0.7945516458569868,11.900000000000091,1
Census Tract 1407.02,white,1580.9,1592.8,0.7527357834145021,11.899999999999864,1
Census Tract 8420,white,913.3,925.2,1.3029672615788996,11.900000000000091,1
Census Tract 1504.02,white,1686.5000000000002,1731.5,2.6682478505781067,44.99999999999977,2
Census Tract 8344,black,1248.6,1403.7,12.421912542047105,155.10000000000014,5
Census Tract 402.01,white,1679.7000000000003,1744.9,3.8816455319402157,65.19999999999982,4
Census Tract 402.02,white,1717.5,1811.0000000000002,5.443959243085894,93.50000000000023,4
