,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 8424,black,322.59999999999997,322.59999999999997,0.0,0.0,0.0
Census Tract 8403,white,288.6,288.6,0.0,0.0,0.0
Census Tract 8411,white,219.20000000000002,219.20000000000002,0.0,0.0,0.0
Census Tract 8412,white,118.89999999999999,118.89999999999999,0.0,0.0,0.0
Census Tract 8390,white,132.10000000000002,132.10000000000002,0.0,0.0,0.0
Census Tract 8382,black,200.3,200.3,0.0,0.0,0.0
Census Tract 6503.01,white,264.79999999999995,264.79999999999995,0.0,0.0,0.0
Census Tract 5305.03,black,295.1,329.6,0.1169095221958658,34.5,1.0
Census Tract 7608.03,white,367.8,367.8,0.0,0.0,0.0
Census Tract 306.01,white,65.8,65.8,0.0,0.0,0.0
Census Tract 306.04,white,162.2,162.2,0.0,0.0,0.0
Census Tract 208.01,white,196.2,224.8,0.14576962283384315,28.600000000000023,1.0
Census Tract 5401.02,black,162.1,162.1,0.0,0.0,0.0
Census Tract 8433,white,119.19999999999999,119.19999999999999,0.0,0.0,0.0
Census Tract 5401.01,black,232.1,232.1,0.0,0.0,0.0
Census Tract 4402.01,black,115.8,115.8,0.0,0.0,0.0
Census Tract 802.02,white,226.5,226.5,0.0,0.0,0.0
Census Tract 701.02,white,311.8,341.7,0.0958948043617703,29.899999999999977,1.0
Census Tract 315.01,white,47.3,47.3,0.0,0.0,0.0
Census Tract 315.02,white,70.0,70.0,0.0,0.0,0.0
Census Tract 8349,black,142.7,142.7,0.0,0.0,0.0
Census Tract 8348,black,110.9,110.9,0.0,0.0,0.0
Census Tract 1605.02,white,122.6,122.6,0.0,0.0,0.0
Census Tract 1407.02,white,32.4,32.4,0.0,0.0,0.0
Census Tract 8420,white,143.4,143.4,0.0,0.0,0.0
Census Tract 1504.02,white,93.69999999999999,93.69999999999999,0.0,0.0,0.0
Census Tract 8344,black,129.70000000000002,129.70000000000002,0.0,0.0,0.0
Census Tract 402.01,white,139.6,154.3,0.10530085959885399,14.700000000000017,1.0
Census Tract 402.02,white,122.60000000000001,158.5,0.29282218597063614,35.89999999999999,1.0
Census Tract 207.02,white,41.7,41.7,0.0,0.0,0.0
Census Tract 208.02,white,108.9,122.0,0.12029384756657478,13.099999999999994,1.0
Census Tract 203.01,white,117.5,117.5,0.0,0.0,0.0
Census Tract 8387,white,153.9,153.9,0.0,0.0,0.0
Census Tract 206.01,white,89.5,89.5,0.0,0.0,0.0
Census Tract 8415,white,73.7,73.7,0.0,0.0,0.0
Census Tract 8386,black,44.6,44.6,0.0,0.0,0.0
Census Tract 8373,black,54.0,54.0,0.0,0.0,0.0
Census Tract 206.02,white,147.6,169.4,0.14769647696476973,21.80000000000001,1.0
Census Tract 633.01,white,303.8,347.9,0.14516129032258052,44.099999999999966,1.0
Census Tract 8378,black,190.2,192.9,0.014195583596214601,2.700000000000017,1.0
Census Tract 8374,black,97.7,97.7,0.0,0.0,0.0
Census Tract 8369,black,20.5,20.5,0.0,0.0,0.0
Census Tract 203.02,white,185.39999999999998,194.70000000000005,0.050161812297735,9.300000000000068,1.0
Census Tract 209.02,white,144.9,144.9,0.0,0.0,0.0
Census Tract 107.01,white,122.5,122.5,0.0,0.0,0.0
Census Tract 301.03,white,27.6,27.6,0.0,0.0,0.0
Census Tract 633.03,white,379.0,379.0,0.0,0.0,0.0
Census Tract 301.02,white,40.9,40.9,0.0,0.0,0.0
Census Tract 105.02,white,68.0,68.0,0.0,0.0,0.0
Census Tract 105.03,white,96.4,104.1,0.07987551867219905,7.699999999999989,1.0
Census Tract 107.02,white,59.9,59.9,0.0,0.0,0.0
Census Tract 8371,black,106.6,112.6,0.056285178236397754,6.0,1.0
Census Tract 8370,black,82.69999999999999,82.69999999999999,0.0,0.0,0.0
Census Tract 102.01,white,208.29999999999998,208.29999999999998,0.0,0.0,0.0
Census Tract 209.01,white,241.5,262.5,0.08695652173913043,21.0,1.0
Census Tract 404.01,white,115.2,115.2,0.0,0.0,0.0
Census Tract 2106.02,white,165.5,210.4,0.2712990936555892,44.900000000000006,2.0
Census Tract 1605.01,white,77.5,77.5,0.0,0.0,0.0
Census Tract 1913.02,white,251.3,284.5,0.1321130123358535,33.19999999999999,1.0
Census Tract 1906.02,white,190.5,208.7,0.0955380577427821,18.19999999999999,1.0
Census Tract 8402,white,209.89999999999998,209.89999999999998,0.0,0.0,0.0
Census Tract 5305.01,black,210.39999999999998,210.39999999999998,0.0,0.0,0.0
Census Tract 207.01,white,124.3,124.3,0.0,0.0,0.0
Census Tract 8314,black,84.7,84.7,0.0,0.0,0.0
Census Tract 8313,black,106.6,126.19999999999999,0.1838649155722326,19.599999999999994,1.0
Census Tract 105.01,white,101.4,101.4,0.0,0.0,0.0
Census Tract 8330,white,137.70000000000002,137.70000000000002,0.0,0.0,0.0
Census Tract 7608.01,white,253.20000000000002,253.20000000000002,0.0,0.0,0.0
Census Tract 2521.01,black,184.2,184.2,0.0,0.0,0.0
Census Tract 2521.02,black,95.5,95.5,0.0,0.0,0.0
Census Tract 2522.02,black,89.5,103.0,0.15083798882681565,13.5,1.0
Census Tract 2206.01,white,208.3,208.3,0.0,0.0,0.0
Census Tract 2105.02,white,78.9,78.9,0.0,0.0,0.0
Census Tract 2206.02,white,173.89999999999998,203.0,0.16733755031627387,29.100000000000023,2.0
Census Tract 2209.01,white,187.70000000000002,196.6,0.04741608950452838,8.899999999999977,1.0
Census Tract 2209.02,white,179.1,211.79999999999998,0.18257956448911217,32.69999999999999,1.0
Census Tract 2004.01,white,93.9,93.9,0.0,0.0,0.0
Census Tract 2004.02,white,74.9,74.9,0.0,0.0,0.0
Census Tract 1913.01,white,267.2,296.6,0.11002994011976061,29.400000000000034,1.0
Census Tract 1906.01,white,138.7,138.7,0.0,0.0,0.0
Census Tract 1907.01,white,227.7,262.5,0.15283267457180508,34.80000000000001,2.0
Census Tract 1907.02,white,225.7,266.09999999999997,0.1789986708019494,40.39999999999998,2.0
Census Tract 1904.01,white,62.7,62.7,0.0,0.0,0.0
Census Tract 1904.02,white,123.0,123.0,0.0,0.0,0.0
Census Tract 8321,white,130.1,202.9,0.5595695618754805,72.80000000000001,2.0
Census Tract 8438,white,83.30000000000001,83.30000000000001,0.0,0.0,0.0
Census Tract 8428,white,64.5,64.5,0.0,0.0,0.0
Census Tract 3515,white,88.9,88.9,0.0,0.0,0.0
Census Tract 9801,white,220.00000000000003,220.00000000000003,0.0,0.0,0.0
Census Tract 8333,white,255.5,255.5,0.0,0.0,0.0
Census Tract 8329,white,226.39999999999998,226.39999999999998,0.0,0.0,0.0
Census Tract 8380,black,182.4,182.4,0.0,0.0,0.0
Census Tract 8381,black,215.5,215.5,0.0,0.0,0.0
Census Tract 307.06,white,136.5,136.5,0.0,0.0,0.0
Census Tract 3815,black,147.7,147.7,0.0,0.0,0.0
Census Tract 8331,white,234.7,239.0,0.01832126118449089,4.300000000000011,1.0
Census Tract 8391,white,48.0,48.0,0.0,0.0,0.0
Census Tract 812.01,white,169.7,169.7,0.0,0.0,0.0
Census Tract 1504.01,white,100.80000000000001,100.80000000000001,0.0,0.0,0.0
Census Tract 1505.01,white,166.8,166.8,0.0,0.0,0.0
Census Tract 8430,black,203.9,203.9,0.0,0.0,0.0
Census Tract 8429,white,192.7,192.7,0.0,0.0,0.0
Census Tract 8421,black,62.3,208.10000000000002,2.3402889245585876,145.8,1.0
Census Tract 8419,white,219.89999999999998,219.89999999999998,0.0,0.0,0.0
Census Tract 802.01,white,261.70000000000005,261.70000000000005,0.0,0.0,0.0
Census Tract 701.01,white,280.90000000000003,280.90000000000003,0.0,0.0,0.0
Census Tract 404.02,white,33.0,33.0,0.0,0.0,0.0
Census Tract 2207.02,white,88.8,101.19999999999999,0.13963963963963955,12.399999999999991,1.0
Census Tract 1403.01,white,101.60000000000001,101.60000000000001,0.0,0.0,0.0
Census Tract 8422,white,251.5,291.4,0.15864811133200787,39.89999999999998,2.0
Census Tract 8437,white,219.5,281.5,0.2824601366742597,62.0,2.0
Census Tract 8350,white,191.8,213.8,0.11470281543274244,22.0,2.0
Census Tract 8423,white,163.20000000000002,172.2,0.05514705882352923,8.999999999999972,1.0
Census Tract 2302,white,195.0,264.0,0.35384615384615387,69.0,2.0
Census Tract 8351,white,102.60000000000001,102.60000000000001,0.0,0.0,0.0
Census Tract 8347,black,167.6,167.6,0.0,0.0,0.0
Census Tract 1510.01,white,218.0,241.5,0.10779816513761468,23.5,1.0
Census Tract 1510.02,white,149.3,172.8,0.15740120562625584,23.5,1.0
Census Tract 1606.02,white,210.6,210.6,0.0,0.0,0.0
Census Tract 1406.01,white,98.4,98.4,0.0,0.0,0.0
Census Tract 1407.01,white,12.9,12.9,0.0,0.0,0.0
Census Tract 1406.02,white,63.199999999999996,63.199999999999996,0.0,0.0,0.0
