,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 8424,black,462.15,471.15,0.019474196689386564,9.0,1.5
Census Tract 8403,white,306.7,308.4,0.005542875774372314,1.6999999999999886,1.0
Census Tract 8411,white,,,,,
Census Tract 8412,white,,,,,
Census Tract 8390,white,,,,,
Census Tract 8382,black,,,,,
Census Tract 6503.01,white,318.6,429.75,0.34887005649717506,111.14999999999998,2.0
Census Tract 5305.03,black,295.1,329.6,0.1169095221958658,34.5,1.0
Census Tract 7608.03,white,,,,,
Census Tract 306.01,white,215.0,286.40000000000003,0.33209302325581413,71.40000000000003,1.0
Census Tract 306.04,white,260.45000000000005,452.79999999999995,0.7385294682280663,192.3499999999999,2.0
Census Tract 208.01,white,198.35,224.20000000000002,0.13032518275775157,25.850000000000023,1.5
Census Tract 5401.02,black,,,,,
Census Tract 8433,white,,,,,
Census Tract 5401.01,black,,,,,
Census Tract 4402.01,black,269.9,302.0,0.11893293812523166,32.10000000000002,1.0
Census Tract 802.02,white,326.95,339.4,0.038079217005658327,12.449999999999989,1.5
Census Tract 701.02,white,320.73333333333335,358.2,0.11681563084597787,37.46666666666664,1.3333333333333333
Census Tract 315.01,white,210.90000000000003,273.1,0.2949265054528211,62.19999999999999,1.0
Census Tract 315.02,white,203.1,233.39999999999998,0.14918759231905457,30.299999999999983,1.0
Census Tract 8349,black,,,,,
Census Tract 8348,black,,,,,
Census Tract 1605.02,white,246.05,320.15,0.301158301158301,74.09999999999997,1.5
Census Tract 1407.02,white,309.20000000000005,315.8,0.021345407503234038,6.599999999999966,1.0
Census Tract 8420,white,,,,,
Census Tract 1504.02,white,233.1,275.20000000000005,0.18060918060918082,42.10000000000005,2.0
Census Tract 8344,black,284.6,296.6,0.04216444132115249,12.0,2.0
Census Tract 402.01,white,139.6,154.3,0.10530085959885399,14.700000000000017,1.0
Census Tract 402.02,white,175.45000000000002,198.4,0.1308064975776574,22.94999999999999,1.5
Census Tract 207.02,white,,,,,
Census Tract 208.02,white,136.33333333333334,148.36666666666667,0.08826405867970658,12.033333333333331,1.0
Census Tract 203.01,white,,,,,
Census Tract 8387,white,,,,,
Census Tract 206.01,white,244.3,262.5,0.0744985673352435,18.19999999999999,2.0
Census Tract 8415,white,,,,,
Census Tract 8386,black,,,,,
Census Tract 8373,black,,,,,
Census Tract 206.02,white,147.6,169.4,0.14769647696476973,21.80000000000001,1.0
Census Tract 633.01,white,319.7,357.1666666666667,0.11719320196017109,37.4666666666667,1.3333333333333333
Census Tract 8378,black,204.95,214.3,0.04562088314222992,9.350000000000023,1.0
Census Tract 8374,black,,,,,
Census Tract 8369,black,,,,,
Census Tract 203.02,white,185.39999999999998,194.70000000000005,0.050161812297735,9.300000000000068,1.0
Census Tract 209.02,white,221.1,237.8,0.07553143374038904,16.700000000000017,2.0
Census Tract 107.01,white,314.4,341.65,0.08667302798982189,27.25,1.5
Census Tract 301.03,white,258.2,329.6,0.2765298218435323,71.40000000000003,1.0
Census Tract 633.03,white,441.05,497.1,0.12708309715451765,56.05000000000001,2.5
Census Tract 301.02,white,231.1,302.5,0.30895716140199053,71.4,1.0
Census Tract 105.02,white,135.3,158.8,0.1736881005173688,23.5,1.0
Census Tract 105.03,white,96.4,104.1,0.07987551867219905,7.699999999999989,1.0
Census Tract 107.02,white,,,,,
Census Tract 8371,black,129.55,135.55,0.04631416441528367,6.0,1.0
Census Tract 8370,black,,,,,
Census Tract 102.01,white,326.65,355.75,0.08908617786621774,29.100000000000023,1.5
Census Tract 209.01,white,246.85000000000002,274.1,0.1103909256633583,27.25,1.5
