,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 8424,black,412.76666666666665,418.76666666666665,0.014536057498182993,6.0,1.0
Census Tract 8403,white,347.26666666666665,348.0,0.002111729698598623,0.7333333333333485,0.6666666666666666
Census Tract 8411,white,205.83333333333334,205.83333333333334,0.0,0.0,0.0
Census Tract 8412,white,163.03333333333333,163.03333333333333,0.0,0.0,0.0
Census Tract 8390,white,209.9333333333333,209.9333333333333,0.0,0.0,0.0
Census Tract 8382,black,64.73333333333333,64.73333333333333,0.0,0.0,0.0
Census Tract 6503.01,white,271.3666666666667,277.6333333333333,0.023092986119641265,6.2666666666666515,0.6666666666666666
Census Tract 5305.03,black,233.66666666666666,257.43333333333334,0.10171184022824542,23.76666666666668,0.6666666666666666
Census Tract 7608.03,white,320.40000000000003,320.40000000000003,0.0,0.0,0.0
Census Tract 306.01,white,93.60000000000001,118.33333333333333,0.26424501424501406,24.73333333333332,0.6666666666666666
Census Tract 306.04,white,104.8,253.19999999999996,1.4160305343511448,148.39999999999998,0.6666666666666666
Census Tract 208.01,white,139.86666666666667,140.16666666666666,0.0021448999046709935,0.29999999999998295,0.3333333333333333
Census Tract 5401.02,black,192.5666666666667,192.5666666666667,0.0,0.0,0.0
Census Tract 8433,white,132.16666666666666,132.16666666666666,0.0,0.0,0.0
Census Tract 5401.01,black,232.1,232.1,0.0,0.0,0.0
Census Tract 4402.01,black,318.20000000000005,340.73333333333335,0.07081500104755908,22.533333333333303,0.6666666666666666
Census Tract 802.02,white,214.69999999999996,214.69999999999996,0.0,0.0,0.0
Census Tract 701.02,white,115.10000000000001,115.10000000000001,0.0,0.0,0.0
Census Tract 315.01,white,79.13333333333333,90.06666666666666,0.13816343723673133,10.933333333333337,0.3333333333333333
Census Tract 315.02,white,58.5,58.5,0.0,0.0,0.0
Census Tract 8349,black,364.8,383.4666666666667,0.051169590643274906,18.666666666666686,0.3333333333333333
Census Tract 8348,black,293.0,293.0,0.0,0.0,0.0
Census Tract 1605.02,white,254.4666666666667,254.4666666666667,0.0,0.0,0.0
Census Tract 1407.02,white,193.36666666666667,193.36666666666667,0.0,0.0,0.0
Census Tract 8420,white,236.83333333333334,236.83333333333334,0.0,0.0,0.0
Census Tract 1504.02,white,247.33333333333334,269.4666666666667,0.08948787061994617,22.133333333333354,1.6666666666666667
Census Tract 8344,black,200.79999999999998,200.79999999999998,0.0,0.0,0.0
Census Tract 402.01,white,69.7,69.7,0.0,0.0,0.0
Census Tract 402.02,white,119.63333333333333,119.63333333333333,0.0,0.0,0.0
Census Tract 207.02,white,179.16666666666663,179.16666666666663,0.0,0.0,0.0
Census Tract 208.02,white,197.9,201.19999999999996,0.01667508842849901,3.2999999999999545,0.3333333333333333
Census Tract 203.01,white,196.0,204.0,0.04081632653061224,8.0,0.3333333333333333
