,index,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras,id_year,year,id_race,race,household_income_by_race,household_income_by_race_moe,geography,id_geography
0,Census Tract 8424,black,903.1516531245519,903.1516531245519,0.0,0.0,0.0,2022,2022,0,Total,72616,35239.0,Census Tract 8424,14000US17031842400
1,Census Tract 8403,white,712.2879085558545,712.5812250027815,0.0004117947860741353,0.29331644692695136,1.0,2022,2022,0,Total,65909,16606.0,Census Tract 8403,14000US17031840300
2,Census Tract 8411,white,338.2918104543792,338.31680397074535,7.388152947779041e-05,0.0249935163661803,0.058700310526670595,2022,2022,0,Total,48542,24522.0,Census Tract 8411,14000US17031841100
3,Census Tract 8412,white,501.2909843835699,504.1490741219907,0.005701458489095614,2.8580897384208015,0.8857295582614417,2022,2022,0,Total,60498,6445.0,Census Tract 8412,14000US17031841200
4,Census Tract 8390,white,398.39883109043194,444.27457390355454,0.11515029471235907,45.8757428131226,1.0105780917599818,2022,2022,0,Total,110306,22152.0,Census Tract 8390,14000US17031839000
5,Census Tract 8382,black,246.80106086712652,246.80106086712652,0.0,0.0,0.0,2022,2022,0,Total,83929,55944.0,Census Tract 8382,14000US17031838200
6,Census Tract 6503.01,white,556.8301097852116,577.6716136756604,0.03742883785233548,20.84150389044885,1.3796941904286832,2022,2022,0,Total,59569,17647.0,Census Tract 6503.01,14000US17031650301
7,Census Tract 7608.03,white,1034.5390171871102,1034.5390171871102,0.0,0.0,0.0,2022,2022,0,Total,63155,11513.0,Census Tract 7608.03,14000US17031760803
8,Census Tract 306.01,white,608.9949770326759,662.3872974620194,0.08767284204788886,53.3923204293435,1.1901762912000613,2022,2022,0,Total,51808,11646.0,Census Tract 306.01,14000US17031030601
9,Census Tract 306.04,white,685.1309627499866,701.9417535037085,0.024536609302032646,16.810790753721903,0.9289551515453947,2022,2022,0,Total,49816,18898.0,Census Tract 306.04,14000US17031030604
10,Census Tract 208.01,white,572.9870221480171,631.3014223665249,0.1017726370134849,58.314400218507785,1.9933005032756255,2022,2022,0,Total,71953,24374.0,Census Tract 208.01,14000US17031020801
11,Census Tract 5401.02,black,626.5723090105804,628.9863610038193,0.00385279074501541,2.4140519932388997,0.2603406448358735,2022,2022,0,Total,28711,13253.0,Census Tract 5401.02,14000US17031540102
12,Census Tract 8433,white,508.9079957173892,508.9079957173892,0.0,0.0,0.0,2022,2022,0,Total,41250,29547.0,Census Tract 8433,14000US17031843300
13,Census Tract 5401.01,black,691.0231468367965,691.0231468367965,0.0,0.0,0.0,2022,2022,0,Total,16712,9838.0,Census Tract 5401.01,14000US17031540101
14,Census Tract 4402.01,black,537.426378216405,538.5075338230794,0.002011727839378526,1.081155606674315,0.029594042943398676,2022,2022,0,Total,34355,14144.999999999998,Census Tract 4402.01,14000US17031440201
15,Census Tract 802.02,white,280.9268086069099,285.60182786740467,0.01664141376779864,4.675019260494764,0.5202397439156252,2022,2022,0,Total,103948,15699.999999999998,Census Tract 802.02,14000US17031080202
16,Census Tract 701.02,white,361.6613840900083,381.83985365466975,0.055793818340416274,20.17846956466144,0.9465263973651552,2022,2022,0,Total,92641,16483.0,Census Tract 701.02,14000US17031070102
17,Census Tract 315.01,white,933.4179177894331,933.5722068678207,0.00016529474680857526,0.15428907838759187,0.560918046514054,2022,2022,0,Total,48889,7417.0,Census Tract 315.01,14000US17031031501
18,Census Tract 315.02,white,670.7290409383438,671.335049800454,0.000903507713431386,0.6060088621102295,0.11103429564313021,2022,2022,0,Total,47188,4962.0,Census Tract 315.02,14000US17031031502
19,Census Tract 8348,black,393.4976483765702,446.1968243395987,0.13392500865112242,52.699175963028495,0.6564643823318531,2022,2022,0,Total,20771,3398.9999999999995,Census Tract 8348,14000US17031834800
20,Census Tract 1605.02,white,604.5912219244648,623.5255267522764,0.03131753181520256,18.934304827811616,2.0,2022,2022,0,Total,100147,29694.000000000004,Census Tract 1605.02,14000US17031160502
21,Census Tract 1407.02,white,743.7435433768148,755.9064665060716,0.016353652058656593,12.162923129256797,0.8369093506871949,2022,2022,0,Total,73571,15100.0,Census Tract 1407.02,14000US17031140702
22,Census Tract 8420,white,118.31011159765445,118.31011159765445,0.0,0.0,0.0,2022,2022,0,Total,116875,35858.0,Census Tract 8420,14000US17031842000
23,Census Tract 1504.02,white,581.779137626615,622.48533538525,0.06996847278624857,40.70619775863497,2.923267473798289,2022,2022,0,Total,97986,8044.000000000001,Census Tract 1504.02,14000US17031150402
24,Census Tract 8344,black,333.14340060686413,343.9091191625976,0.03231556901959434,10.765718555733486,0.6348158603603908,2022,2022,0,Total,33768,25722.0,Census Tract 8344,14000US17031834400
25,Census Tract 402.01,white,680.9360549688496,732.5248138825237,0.07576153228666113,51.588758913674155,2.2348647118648906,2022,2022,0,Total,99624,16177.0,Census Tract 402.01,14000US17031040201
26,Census Tract 402.02,white,552.3328557497986,589.2972198329205,0.066924072501431,36.96436408312195,1.508284724775728,2022,2022,0,Total,58293,9324.0,Census Tract 402.02,14000US17031040202
27,Census Tract 207.02,white,341.1671653021082,351.294924109437,0.029685619946340776,10.127758807328803,1.122796190983081,2022,2022,0,Total,68897,20896.0,Census Tract 207.02,14000US17031020702
28,Census Tract 208.02,white,620.9957513733962,693.8884205771491,0.11738030259070736,72.89266920375292,2.6844555626977433,2022,2022,0,Total,62212,23228.0,Census Tract 208.02,14000US17031020802
