sampno,perno,date_completed,retmode_final,retmode,proxy,proxyperno,age,aage,age18,sex,relate,relate_o,lic,hisp,hisp_o,race,race_o,smrtphn,emply_ask,jobs,wkstat,wkstat_o,volun_freq,wplace,wmode,wmode_o,wparkride,pervh,wrkhrs,wtrav,occup,occup_o,indus,indus_o,emply_transit,emply_transit_o,emply_park,emply_park_o,stude,schol,schol_o,sloc,sweb,smode,smode_o,sparkride,educ,educ_o,hptol,hptol_o,pay_allday,tolls,tolltrip,typday,typday_no,typpl,carptowk,walktowk,biketowk,ribus,tcoff,tcdays,compr,compr_o,wkflex,tnc_use,tnc_typ,tnc_cost,tnc_purp,disab,dtype_o,dtype2,nogowhy,nogowhy_o,nogowhy2,nogowhy2_1,nogowhy2_2,nogowhy2_3,nogowhy2_4,nogowhy2_5,nogowhy2_rf,nogowhy2_dk,traveldatause,traveldatause_pilot,traveldatadevice,traveldatadevice_1,traveldatadevice_2,traveldatadevice_3,traveldatadevice_se,traveldatadevice_rf,traveldatadevice_dk,traveldatadevice_o,traveldatamode,traveldatamode_1,traveldatamode_2,traveldatamode_3,traveldatamode_4,traveldatamode_5,traveldatamode_se,traveldatamode_rf,traveldatamode_dk,traveldatamode_o,dtype,dtype_1,dtype_2,dtype_3,dtype_4,dtype_5,dtype_6,dtype_se,dtype_rf,dtype_dk,qc_trip_person,pertrips,wtperfin
20000083,1,2017-10-12,2,2,2,1,45,-1,-1,1,1,-1,1,2,-1,1,-1,1,1,1,-1,-1,-1,1,4,-1,-1,2,42,5,13,-1,44-45,-1,97,UNKNOWN SUBSIDY PERCENT,1,-1,3,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-9,-1,2,-1,-1,2,1,1,1,1,1,1,4,-1,1,0,2,-9,-9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2;3,-1,2,3,-1,-1,-1,-9,1;2;3,1,2,3,-1,-1,-1,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,9,155.2391
20000136,1,2017-10-24,2,2,2,1,33,-1,-1,2,1,-1,1,2,-1,1,-1,1,1,1,-1,-1,-1,1,4,-1,-1,2,20,2,29,-1,54,-1,5,-1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-9,-1,2,-1,-1,1,1,1,1,1,2,-1,3,-1,2,1,2,25,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,2,-1,-1,-1,-1,-9,1;2,1,2,-1,-1,-1,-1,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,319.6422
20000136,2,2017-10-24,2,5,2,2,34,-1,-1,1,2,-1,1,2,-1,1,-1,2,1,1,-1,-1,-1,1,1,-1,-1,-9,100,7,29,-1,62,-1,-8,-1,-8,-1,3,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-9,-1,-1,-1,-1,1,-9,-9,-9,-9,2,-1,4,-1,2,1,2,20,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,2,-1,-1,-1,-1,-9,1;2,1,2,-1,-1,-1,-1,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,319.6422
20000136,3,2017-10-24,-1,-1,1,1,1,-1,-1,1,3,-1,-1,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,319.6422
20000228,1,2017-10-02,2,2,2,1,50,-1,-1,2,1,-1,1,2,-1,6,-1,1,1,1,-1,-1,-1,2,18,-1,-1,2,35,-1,13,-1,54,-1,5,-1,6,-1,3,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,2,-1,-1,-1,-1,1,1,1,1,1,2,-1,4,-1,1,0,2,-9,-9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,-1,-1,-1,-9,2,-1,2,-1,-1,-1,-1,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,9,540.4961
20000248,1,2017-09-22,2,5,2,1,61,-1,-1,2,1,-1,1,2,-1,1,-1,1,2,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-9,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-9,-9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,97,-1,-1,-1,97,-1,-1,computer,2,-1,2,-1,-1,-1,-1,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,662.6029
20000248,2,2017-09-22,2,5,2,2,65,-1,-1,1,2,-1,1,2,-1,1,-1,2,2,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-9,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-9,-9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,97,-1,-1,-1,97,-1,-1,computer,2,-1,2,-1,-1,-1,-1,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,662.6029
20000248,3,2017-09-22,2,5,2,3,32,-1,-1,2,3,-1,1,2,-1,1,-1,1,2,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,2,Usually I spend my days at doctors appointments.,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-9,-9,1,RHEUMATOID ARTHRITIS,1,1,-1,-9,-9,-9,-9,-9,-9,-9,-9,-1,1,-9,-9,-9,-9,-9,-9,-9,-9,5,-1,-1,-1,-1,5,-1,-1,-1,-9,3;5;97,-1,-1,3,-1,5,-1,97,-1,-1,0,0,662.6029
20000300,1,2017-09-14,2,2,2,1,30,-1,-1,2,1,-1,1,2,-1,1,-1,1,1,1,-1,-1,-1,1,8,-1,-9,2,40,5,41,-1,97,Middle market for insureds and agents,4,-1,6,-1,3,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-9,-1,-1,-1,-1,1,1,1,1,4,2,-1,4,-1,2,2,1,10,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,2,-1,-1,-1,-1,-9,2;3,-1,2,3,-1,-1,-1,-1,-1,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,68.701
20000412,1,2017-11-15,3,7,2,1,65,-1,-1,1,1,-1,2,2,-1,2,-1,2,2,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-9,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,5,4,1,STROKE,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,97,-1,-1,-1,97,-1,-1,Second hand information,1;2;3;4,1,2,3,4,-1,-1,-1,-1,-9,3;97,-1,-1,3,-1,-1,-1,97,-1,-1,0,2,615.7184
