sampno,travdate,travday,hhsize,hhveh,transprob,transprob_o,hlive,restylast,restylast_o,restylast_zip,hhinc2,homeown,homeown_o,futuresurvey,incendonate,resty,resty_o,hhinc,download,source,source_o,hhtrips,phase,wthhfin
20000083,2017-10-11,4,1,1,-9,-1,2,3,-1,60194,-1,3,-1,1,-9,3,-1,7,2,-1,-1,9,1,155.2391
20000136,2017-10-23,2,3,1,-9,-1,1,2,-1,2116,-1,3,-1,1,-9,3,-1,9,2,-1,-1,4,1,319.6422
20000228,2017-10-01,2,1,1,-9,-1,10,-1,-1,-1,-1,0,-1,2,-9,1,-1,10,2,-1,-1,9,1,540.4961
20000248,2017-09-21,5,3,1,-9,-1,26,-1,-1,-1,-1,4,-1,1,-9,3,-1,1,2,-1,-1,4,1,662.6029
20000300,2017-09-13,4,1,0,-9,-1,8,-1,-1,-1,-1,3,-1,1,-9,3,-1,6,1,-1,-1,2,1,68.701
20000412,2017-10-13,6,1,0,-9,-1,1,3,-1,60608,-1,3,-1,1,-9,3,-1,1,2,-1,-1,2,1,615.7184
20000471,2017-09-21,5,2,1,-9,-1,15,-1,-1,-1,-1,0,-1,2,-9,1,-1,7,2,-1,-1,9,1,1017.6162
20000589,2017-12-14,5,2,2,-9,-1,12,-1,-1,-1,-1,0,-1,2,-9,3,-1,9,1,-1,-1,7,1,239.0509
20000752,2017-09-22,6,4,1,-9,-1,1,1,-1,61604,-1,3,-1,1,-9,2,-1,8,2,-1,-1,14,1,662.6029
20000894,2017-10-24,3,1,1,-9,-1,25,-1,-1,-1,-1,0,-1,1,-9,1,-1,2,2,-1,-1,8,1,114.6652
20000999,2017-10-11,4,1,0,-9,-1,4,3,-1,60637,-1,3,-1,1,-9,3,-1,1,2,-1,-1,0,1,805.1366
20001025,2017-09-18,2,2,1,-9,-1,1,3,-1,60647,-1,3,-1,1,-9,2,-1,8,1,-1,-1,6,1,69.2482
20001516,2017-10-05,5,2,4,-9,-1,2,3,-1,60047,-1,0,-1,1,-9,1,-1,9,2,-1,-1,4,1,181.6271
20001619,2018-01-15,2,2,0,-9,-1,2,3,-1,60202,-1,3,-1,1,-9,3,-1,8,2,-1,-1,6,1,919.1781
20001880,2017-09-18,2,4,2,-9,-1,2,3,-1,60201,-1,0,-1,1,-9,1,-1,10,1,-1,-1,8,1,111.085
20001882,2017-09-20,4,1,1,-9,-1,2,3,-1,60608,-1,3,-1,1,-9,3,-1,3,2,-1,-1,5,1,609.2026
20001889,2017-10-22,2,1,1,-9,-1,2,1,-1,60093,-1,3,-1,1,-9,1,-1,5,2,-1,-1,1,1,225.6059
20001965,2017-10-12,5,2,1,-9,-1,11,-1,-1,-1,-1,0,-1,1,-9,1,-1,2,2,-1,-1,3,1,655.0468
20002017,2017-10-03,3,1,1,-9,-1,25,-1,-1,-1,-1,0,-1,2,-9,3,-1,8,2,-1,-1,0,1,73.8311
20002218,2017-10-18,4,1,0,-9,-1,5,3,-1,60649,-1,3,-1,2,-9,3,-1,1,2,-1,-1,6,1,114.3477
20002266,2017-10-24,3,1,0,-9,-1,2,3,-1,60622,-1,3,-1,2,-9,3,-1,1,2,-1,-1,0,1,662.6029
20002368,2017-09-27,4,3,3,-9,-1,4,1,-1,60453,-1,0,-1,2,-9,1,-1,5,2,-1,-1,14,1,864.4341
20002411,2017-09-18,2,2,1,-9,-1,16,-1,-1,-1,-1,0,-1,1,-9,3,-1,10,1,-1,-1,17,1,86.8728
20002535,2017-09-27,4,1,0,-9,-1,2,3,-1,60610,-1,3,-1,1,-9,3,-1,3,2,-1,-1,2,1,73.6225
20002650,2017-09-13,4,1,1,-9,-1,1,3,-1,60657,-1,3,-1,1,-9,3,-1,6,1,-1,-1,2,1,68.4132
20002772,2017-09-21,5,2,1,-9,-1,25,-1,-1,-1,-1,0,-1,2,-9,1,-1,6,2,-1,-1,7,1,82.7949
20002935,2017-10-03,3,3,3,-9,-1,16,-1,-1,-1,-1,0,-1,1,-9,1,-1,10,2,-1,-1,11,1,102.7654
20003187,2017-10-02,2,2,1,-9,-1,1,3,-1,22202,5,3,-1,1,-9,3,-1,-7,2,-1,-1,4,1,69.9349
20003264,2017-10-11,4,3,2,-9,-1,9,-1,-1,-1,-1,0,-1,1,-9,3,-1,8,2,-1,-1,5,1,662.6029
20003341,2017-09-14,5,3,2,-9,-1,9,-1,-1,-1,-1,0,-1,1,-9,1,-1,9,1,-1,-1,13,1,784.7039
20003355,2017-11-28,3,2,1,-9,-1,11,-1,-1,-1,-1,3,-1,1,-9,3,-1,7,2,-1,-1,5,1,987.652
20003387,2017-10-04,4,2,2,-9,-1,19,-1,-1,-1,-1,0,-1,1,-9,1,-1,9,2,-1,-1,10,1,134.9894
20003484,2017-10-05,5,2,1,-9,-1,2,3,-1,60173,-1,3,-1,1,-9,3,-1,8,2,-1,-1,10,1,337.8177
20003623,2017-09-25,2,1,0,-9,-1,8,-1,-1,-1,-1,3,-1,1,-9,3,-1,8,1,-1,-1,4,1,190.4181
20003658,2017-11-29,4,1,1,-9,-1,14,-1,-1,-1,-1,0,-1,1,-9,1,-1,7,2,-1,-1,2,1,302.6325
