sampno,locno,perno,loctype,state,country,state_fips,county_fips,tract_fips,out_region,home,latitude,longitude
20000083,10000,-1,1,IL,USA,17,31,802403,0,1,42.14187,-87.953126
20000083,10002,1,2,IL,USA,17,31,801601,0,0,42.145289,-87.863023
20000083,10401,-1,4,IL,USA,17,31,801606,0,0,42.116325,-87.868708
20000083,10402,-1,4,IL,USA,17,31,803007,0,0,42.131743,-87.970674
20000083,10403,-1,4,IL,USA,17,31,802504,0,0,42.134326,-87.93706
20000083,10404,-1,4,IL,USA,17,31,802505,0,0,42.122275,-87.912636
20000083,10406,-1,4,IL,USA,17,31,802504,0,0,42.134326,-87.93706
20000083,2000059,-1,100,IL,USA,17,31,804603,0,0,42.054349,-88.054009
20000083,2000060,-1,100,IL,USA,17,31,802505,0,0,42.122275,-87.912636
20000083,2000062,-1,100,IL,USA,17,31,804603,0,0,42.054349,-88.054009
20000083,2000064,-1,100,IL,USA,17,31,804109,0,0,42.075496,-88.036731
20000136,10000,-1,1,IL,USA,17,31,81402,0,1,41.891022,-87.612931
20000136,10002,1,2,IL,USA,17,31,830900,0,0,41.928424,-87.684906
20000136,10401,-1,4,IL,USA,17,31,81403,0,0,41.892991,-87.620956
20000136,10402,-1,4,IL,USA,17,31,81402,0,0,41.891022,-87.612931
20000136,10406,-1,4,IL,USA,17,31,81403,0,0,41.892991,-87.620956
20000136,10407,-1,4,IL,USA,17,31,81401,0,0,41.895035,-87.619717
20000136,20002,2,2,IL,USA,17,31,81401,0,0,41.895035,-87.619717
20000228,10000,-1,1,IL,USA,17,31,842500,0,1,41.776951,-87.623216
20000228,10401,-1,4,IL,USA,17,31,841900,0,0,41.868458,-87.642965
20000228,10403,-1,4,IN,USA,18,89,40402,1,0,41.531999,-87.497014
20000228,10404,-1,4,IL,USA,17,31,530300,0,0,41.681314,-87.651752
20000228,10405,-1,4,IL,USA,17,31,681200,0,0,41.769159,-87.638677
20000228,2000022,-1,100,IL,USA,17,31,681400,0,0,41.761522,-87.649171
20000228,2000023,-1,100,IL,USA,17,31,842900,0,0,41.863139,-87.672937
20000228,2000024,-1,100,IL,USA,17,31,842900,0,0,41.863139,-87.672937
20000228,2000026,-1,100,IL,USA,17,31,841900,0,0,41.868458,-87.642965
20000228,2000027,-1,100,IL,USA,17,31,841900,0,0,41.868458,-87.642965
20000228,2000028,-1,100,IL,USA,17,31,330200,0,0,41.865578,-87.630568
20000248,10000,-1,1,IL,USA,17,31,31502,0,1,41.963633,-87.652366
20000248,10401,-1,4,IL,USA,17,31,830700,0,0,41.958304,-87.660765
20000248,10403,-1,4,IL,USA,17,31,31100,0,0,41.972668,-87.663866
20000248,10407,-1,4,IL,USA,17,31,81401,0,0,41.895035,-87.619717
20000248,1000000,-1,97,IL,USA,17,31,210900,0,0,41.934837,-87.693118
20000248,1000001,-1,97,IL,USA,17,31,830700,0,0,41.958304,-87.660765
20000300,10000,-1,1,IL,USA,17,31,81300,0,1,41.898335,-87.620753
20000300,10002,1,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924
20000300,10404,-1,4,IL,USA,17,31,81300,0,0,41.898335,-87.620753
20000300,2000011,-1,100,IL,USA,17,31,81500,0,0,41.892906,-87.626079
20000300,2000017,-1,100,IL,USA,17,31,63200,0,0,41.938923,-87.634673
20000300,2000031,-1,100,IL,USA,17,31,81300,0,0,41.898335,-87.620753
20000300,2000040,-1,100,IL,USA,17,31,81401,0,0,41.895035,-87.619717
20000300,2000041,-1,100,IL,USA,17,31,281900,0,0,41.878635,-87.642924
20000300,2000053,-1,100,IL,USA,17,31,81300,0,0,41.898335,-87.620753
20000300,2000054,-1,100,IL,USA,17,31,81600,0,0,41.892057,-87.628871
20000300,2000055,-1,100,IL,USA,17,31,81300,0,0,41.898335,-87.620753
20000300,2000056,-1,100,IL,USA,17,31,81100,0,0,41.900221,-87.629105
20000300,2000059,-1,100,IL,USA,17,31,61100,0,0,41.94914,-87.656804
20000300,2000060,-1,100,IL,USA,17,31,61500,0,0,41.945282,-87.661545
20000300,2000062,-1,100,IL,USA,17,31,61100,0,0,41.94914,-87.656804
20000300,2000065,-1,100,IL,USA,17,31,60400,0,0,41.950673,-87.666536
20000300,2000068,-1,100,IL,USA,17,31,61200,0,0,41.94906,-87.661643
20000300,2000072,-1,100,IL,USA,17,31,81600,0,0,41.892057,-87.628871
20000300,2000073,-1,100,IL,USA,17,31,81800,0,0,41.893324,-87.63919
20000300,2000075,-1,100,IL,USA,17,31,833100,0,0,41.879078,-87.657046
20000300,2000080,-1,100,IL,USA,17,31,81800,0,0,41.893324,-87.63919
20000412,10000,-1,1,IL,USA,17,31,842900,0,1,41.863139,-87.672937
20000412,10401,-1,4,IL,USA,17,31,842900,0,0,41.863139,-87.672937
20000412,1000000,-1,97,IL,USA,17,31,838200,0,0,41.870416,-87.675079
20000471,10000,-1,1,IL,USA,17,31,730100,0,1,41.725195,-87.638426
20000471,10401,-1,4,IL,USA,17,31,821800,0,0,41.719499,-87.700423
20000471,10402,-1,4,IL,USA,17,31,500200,0,0,41.700855,-87.600309
20000471,10403,-1,4,IL,USA,17,31,730500,0,0,41.714265,-87.638138
20000471,10405,-1,4,IL,USA,17,31,530501,0,0,41.674278,-87.632166
20000471,2000004,-1,100,IL,USA,17,31,842400,0,0,41.742475,-87.63004
20000471,2000009,-1,100,IL,USA,17,31,730400,0,1,41.717841,-87.652648
20000471,2000031,-1,100,IL,USA,17,31,720600,0,0,41.702776,-87.677207
20000471,2000033,-1,100,IL,USA,17,31,825801,0,0,41.634762,-87.572985
20000471,2000035,-1,100,IL,USA,17,31,821800,0,0,41.719499,-87.700423
20000471,2000036,-1,100,IL,USA,17,31,821800,0,0,41.719499,-87.700423
20000471,2000037,-1,100,IL,USA,17,31,730500,0,0,41.714265,-87.638138
20000589,10000,-1,1,IL,USA,17,97,865700,0,1,42.1675,-87.799326
20000589,10401,-1,4,IL,USA,17,97,865801,0,0,42.166266,-87.811285
20000589,10402,-1,4,IL,USA,17,97,865600,0,0,42.166585,-87.769644
20000589,10403,-1,4,IL,USA,17,97,865400,0,0,42.193793,-87.81727
20000589,10404,-1,4,IL,USA,17,97,865400,0,0,42.193793,-87.81727
20000589,1000000,-1,97,IL,USA,17,31,801500,0,0,42.139902,-87.814597
20000589,1000001,-1,97,IL,USA,17,97,864904,0,0,42.160613,-87.837312
20000752,10000,-1,1,IL,USA,17,31,20801,0,1,41.986808,-87.694415
20000752,10401,-1,4,IL,USA,17,31,40202,0,0,41.979855,-87.694096
20000752,20002,2,2,IL,USA,17,31,838100,0,0,41.878667,-87.671689
20000752,30003,3,3,IL,USA,17,31,20701,0,0,41.986892,-87.70369
20000752,40003,4,3,IL,USA,17,31,20701,0,1,41.986892,-87.70369
20000752,2000002,-1,100,IL,USA,17,31,20701,0,0,41.986892,-87.70369
20000752,2000003,-1,100,IL,USA,17,31,809600,0,0,42.044745,-87.699904
20000752,2000011,-1,100,IL,USA,17,31,20801,0,0,41.986808,-87.694415
20000752,2000013,-1,100,IL,USA,17,31,40402,0,0,41.972545,-87.678818
20000752,2000018,-1,100,IL,USA,17,31,40401,0,0,41.972067,-87.686082
20000752,2000020,-1,100,IL,USA,17,31,808002,0,0,42.005064,-87.719439
20000752,2000027,-1,100,IL,USA,17,31,808002,0,0,42.005064,-87.719439
20000894,10000,-1,1,IL,USA,17,31,450300,0,1,41.741944,-87.579089
20000894,10401,-1,4,IL,USA,17,31,510300,0,0,41.715738,-87.574974
20000894,10403,-1,4,IN,USA,18,89,20100,1,0,41.680595,-87.504278
20000894,10405,-1,4,IL,USA,17,31,440202,0,0,41.74096,-87.609762
20000894,1000000,-1,97,IL,USA,17,31,450300,0,0,41.741944,-87.579089
20000894,1000001,-1,97,IL,USA,17,31,530503,0,0,41.664204,-87.637536
20000894,1000002,-1,97,IL,USA,17,31,822302,0,0,41.717162,-87.774075
20000894,1000003,-1,97,IL,USA,17,31,822302,0,0,41.717162,-87.774075
20000894,1000004,-1,97,IL,USA,17,31,450300,0,0,41.741944,-87.579089
20000999,10000,-1,1,IL,USA,17,31,430900,0,1,41.760641,-87.581185
20000999,10401,-1,4,IL,USA,17,31,430400,0,0,41.762198,-87.590312
20000999,10402,-1,4,IL,USA,17,31,430600,0,0,41.764413,-87.571373
20001025,10000,-1,1,IL,USA,17,31,241000,0,1,41.907969,-87.694534
20001025,10002,1,2,IL,USA,17,31,81401,0,0,41.895035,-87.619717
20001025,10401,-1,4,IL,USA,17,31,831000,0,0,41.914798,-87.676997
20001025,10405,-1,4,IL,USA,17,31,222500,0,0,41.915708,-87.699597
20001025,20002,2,2,IL,USA,17,31,843100,0,0,41.862602,-87.699453
20001025,2000001,-1,100,IL,USA,17,31,81401,0,0,41.895035,-87.619717
20001025,2000008,-1,100,IL,USA,17,31,40900,0,0,41.963185,-87.683854
20001025,4000001,-1,100,IL,USA,17,31,843100,0,-9,41.862602,-87.699453
20001516,10000,-1,1,IL,USA,17,31,806300,0,1,42.037918,-87.90238
20001516,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307
20001516,10401,-1,4,IL,USA,17,31,806103,0,0,42.058833,-87.911814
20001516,20002,2,2,IL,USA,17,31,230700,0,0,41.906323,-87.72154
20001516,1000002,-1,97,IL,USA,17,31,806202,0,0,42.03761,-87.888892
20001516,1000003,-1,97,IL,USA,17,31,806202,0,0,42.03761,-87.888892
20001516,1000004,-1,97,IL,USA,17,31,280100,0,0,41.885452,-87.643498
20001619,10000,-1,1,IL,USA,17,31,809500,0,1,42.046455,-87.687728
20001619,10002,1,2,IL,USA,17,31,808702,0,0,42.058204,-87.671892
20001619,10401,-1,4,IL,USA,17,31,809900,0,0,42.037618,-87.675263
20001619,10404,-1,4,IL,USA,17,31,809500,0,0,42.046455,-87.687728
20001619,10408,-1,4,IL,USA,17,31,809100,0,0,42.059352,-87.704359
20001619,20003,2,3,IL,USA,17,31,809500,0,0,42.046455,-87.687728
20001880,10000,-1,1,IL,USA,17,31,808900,0,1,42.066515,-87.717471
20001880,10002,1,2,IL,USA,17,97,863702,0,0,42.299987,-87.910961
20001880,10401,-1,4,IL,USA,17,31,806801,0,0,42.056381,-87.739538
20001880,10403,-1,4,IL,USA,17,97,864700,0,0,42.192416,-87.838819
20001880,20002,2,2,IL,USA,17,31,81700,0,0,41.892218,-87.631832
