,Unnamed: 0.1,Unnamed: 0,sampno,locno,perno,loctype,state,country,state_fips,county_fips,tract_fips,out_region,home,latitude,longitude,tract
2,2,11,20000136,10000,-1,1,IL,USA,17,31,81402,0,1,41.891022,-87.612931,Census Tract 814.02
3,3,12,20000136,10002,1,2,IL,USA,17,31,830900,0,0,41.928424,-87.684906,Census Tract 8309
4,4,17,20000136,20002,2,2,IL,USA,17,31,81401,0,0,41.895035,-87.619717,Census Tract 814.01
5,5,35,20000300,10000,-1,1,IL,USA,17,31,81300,0,1,41.898335,-87.620753,Census Tract 813
6,6,36,20000300,10002,1,2,IL,USA,17,31,281900,0,0,41.878635,-87.642924,Census Tract 2819
7,7,78,20000752,10000,-1,1,IL,USA,17,31,20801,0,1,41.986808,-87.694415,Census Tract 208.01
8,8,80,20000752,20002,2,2,IL,USA,17,31,838100,0,0,41.878667,-87.671689,Census Tract 8381
9,9,81,20000752,30003,3,3,IL,USA,17,31,20701,0,0,41.986892,-87.70369,Census Tract 207.01
10,10,82,20000752,40003,4,3,IL,USA,17,31,20701,0,1,41.986892,-87.70369,Census Tract 207.01
11,11,102,20001025,10000,-1,1,IL,USA,17,31,241000,0,1,41.907969,-87.694534,Census Tract 2410
12,12,103,20001025,10002,1,2,IL,USA,17,31,81401,0,0,41.895035,-87.619717,Census Tract 814.01
13,13,106,20001025,20002,2,2,IL,USA,17,31,843100,0,0,41.862602,-87.699453,Census Tract 8431
30,30,189,20002411,10000,-1,1,IL,USA,17,31,60100,0,1,41.957531,-87.666611,Census Tract 601
31,31,190,20002411,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
32,32,202,20002535,10000,-1,1,IL,USA,17,31,30701,0,1,41.982745,-87.657966,Census Tract 307.01
33,33,203,20002535,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
34,34,206,20002650,10000,-1,1,IL,USA,17,31,221500,0,1,41.921647,-87.689951,Census Tract 2215
35,35,207,20002650,10002,1,2,IL,USA,17,31,760801,0,0,41.983487,-87.84485,Census Tract 7608.01
36,36,209,20002772,10000,-1,1,IL,USA,17,31,140800,0,1,41.964514,-87.702847,Census Tract 1408
37,37,210,20002772,10002,1,2,IL,USA,17,31,320100,0,0,41.886447,-87.619467,Census Tract 3201
59,59,288,20003623,10000,-1,1,IL,USA,17,31,320100,0,1,41.886447,-87.619467,Census Tract 3201
60,60,289,20003623,10002,1,2,IL,USA,17,31,81500,0,0,41.892906,-87.626079,Census Tract 815
72,72,358,20004111,10000,-1,1,IL,USA,17,31,351000,0,1,41.835568,-87.606528,Census Tract 3510
73,73,359,20004111,10003,1,3,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
108,108,552,20005726,10000,-1,1,IL,USA,17,31,71300,0,1,41.921779,-87.641458,Census Tract 713
109,109,553,20005726,10002,1,2,IL,USA,17,31,71400,0,0,41.922726,-87.629526,Census Tract 714
110,110,562,20006140,10000,-1,1,IL,USA,17,31,830700,0,1,41.958304,-87.660765,Census Tract 8307
111,111,563,20006140,10002,1,2,IL,USA,17,31,839100,0,0,41.880986,-87.63307,Census Tract 8391
119,119,620,30000584,10000,-1,1,IL,USA,17,31,61902,0,1,41.946698,-87.639064,Census Tract 619.02
