,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 8424,black,415.63333333333327,421.6333333333334,0.01443580078594943,6.000000000000114,1.0
Census Tract 8403,white,303.8333333333333,304.40000000000003,0.0018650575973671523,0.5666666666667197,0.3333333333333333
Census Tract 8411,white,281.5,281.5,0.0,0.0,0.0
Census Tract 8412,white,175.33333333333334,175.33333333333334,0.0,0.0,0.0
Census Tract 8390,white,187.9,187.9,0.0,0.0,0.0
Census Tract 8382,black,210.36666666666667,210.36666666666667,0.0,0.0,0.0
Census Tract 6503.01,white,300.6666666666667,374.76666666666665,0.2464523281596451,74.09999999999997,1.3333333333333333
Census Tract 5305.03,black,305.03333333333336,316.53333333333336,0.037700797727024365,11.5,0.3333333333333333
Census Tract 7608.03,white,464.1000000000001,464.1000000000001,0.0,0.0,0.0
Census Tract 306.01,white,172.29999999999998,196.10000000000002,0.1381311665699364,23.80000000000004,0.3333333333333333
Census Tract 306.04,white,227.70000000000002,355.93333333333334,0.5631679109939979,128.23333333333332,1.3333333333333333
Census Tract 208.01,white,202.53333333333333,219.76666666666668,0.08508887425938125,17.23333333333335,1.0
Census Tract 5401.02,black,184.9,184.9,0.0,0.0,0.0
Census Tract 8433,white,126.06666666666666,126.06666666666666,0.0,0.0,0.0
Census Tract 5401.01,black,232.1,232.1,0.0,0.0,0.0
Census Tract 4402.01,black,196.5666666666667,207.26666666666665,0.054434458199084074,10.69999999999996,0.3333333333333333
Census Tract 802.02,white,293.46666666666664,301.76666666666665,0.028282598818718807,8.300000000000011,1.0
Census Tract 701.02,white,320.73333333333335,358.2,0.11681563084597787,37.46666666666664,1.3333333333333333
Census Tract 315.01,white,171.20000000000002,191.93333333333337,0.12110591900311535,20.73333333333335,0.3333333333333333
Census Tract 315.02,white,153.43333333333337,163.53333333333333,0.06582663480338886,10.099999999999966,0.3333333333333333
Census Tract 8349,black,200.36666666666665,200.36666666666665,0.0,0.0,0.0
Census Tract 8348,black,192.43333333333337,192.43333333333337,0.0,0.0,0.0
Census Tract 1605.02,white,204.9,254.29999999999998,0.24109321620302576,49.39999999999998,1.0
Census Tract 1407.02,white,204.70000000000002,206.9,0.010747435271128425,2.1999999999999886,0.3333333333333333
Census Tract 8420,white,253.0666666666667,253.0666666666667,0.0,0.0,0.0
Census Tract 1504.02,white,186.63333333333333,214.70000000000002,0.150383997142347,28.06666666666669,1.3333333333333333
Census Tract 8344,black,208.93333333333337,212.93333333333337,0.019144862795149965,4.0,0.6666666666666666
Census Tract 402.01,white,211.86666666666667,216.76666666666665,0.02312775330396465,4.899999999999977,0.3333333333333333
Census Tract 402.02,white,188.9333333333333,204.23333333333335,0.08098094565984497,15.30000000000004,1.0
Census Tract 207.02,white,79.4,79.4,0.0,0.0,0.0
Census Tract 208.02,white,136.33333333333334,148.36666666666667,0.08826405867970658,12.033333333333331,1.0
Census Tract 203.01,white,131.46666666666667,131.46666666666667,0.0,0.0,0.0
Census Tract 8387,white,177.03333333333333,177.03333333333333,0.0,0.0,0.0
Census Tract 206.01,white,141.1,147.16666666666666,0.04299551145759506,6.066666666666663,0.6666666666666666
Census Tract 8415,white,96.83333333333333,96.83333333333333,0.0,0.0,0.0
Census Tract 8386,black,74.5,74.5,0.0,0.0,0.0
Census Tract 8373,black,78.5,78.5,0.0,0.0,0.0
Census Tract 206.02,white,179.66666666666666,194.20000000000002,0.08089053803339533,14.53333333333336,0.6666666666666666
Census Tract 633.01,white,319.7,357.1666666666667,0.11719320196017109,37.4666666666667,1.3333333333333333
Census Tract 8378,black,204.83333333333334,211.0666666666667,0.03043124491456476,6.2333333333333485,0.6666666666666666
Census Tract 8374,black,124.96666666666665,124.96666666666665,0.0,0.0,0.0
Census Tract 8369,black,116.63333333333333,116.63333333333333,0.0,0.0,0.0
Census Tract 203.02,white,195.73333333333332,201.93333333333337,0.03167574931880132,6.2000000000000455,0.6666666666666666
Census Tract 209.02,white,184.4,189.9666666666667,0.030187997107736935,5.566666666666691,0.6666666666666666
Census Tract 107.01,white,250.4333333333333,268.59999999999997,0.07254092905630238,18.166666666666657,1.0
Census Tract 301.03,white,161.23333333333332,185.03333333333333,0.1476121562952244,23.80000000000001,0.3333333333333333
Census Tract 633.03,white,420.3666666666666,457.73333333333335,0.08889065101895187,37.36666666666673,1.6666666666666667
