,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 8424,black,322.59999999999997,322.59999999999997,0.0,0.0,0.0
Census Tract 8403,white,339.20000000000005,339.7,0.0014740566037734172,0.49999999999994316,1.0
Census Tract 8411,white,149.5,149.5,0.0,0.0,0.0
Census Tract 8412,white,152.9,152.9,0.0,0.0,0.0
Census Tract 8390,white,117.10000000000001,117.10000000000001,0.0,0.0,0.0
Census Tract 8382,black,59.3,59.3,0.0,0.0,0.0
Census Tract 6503.01,white,206.4,215.8,0.045542635658914754,9.400000000000006,1.0
Census Tract 5305.03,black,98.3,98.3,0.0,0.0,0.0
Census Tract 7608.03,white,297.0,297.0,0.0,0.0,0.0
Census Tract 306.01,white,45.1,45.1,0.0,0.0,0.0
Census Tract 306.04,white,70.5,251.0,2.5602836879432624,180.5,1.0
Census Tract 208.01,white,134.0,134.0,0.0,0.0,0.0
Census Tract 5401.02,black,185.10000000000002,185.10000000000002,0.0,0.0,0.0
Census Tract 8433,white,112.80000000000001,112.80000000000001,0.0,0.0,0.0
Census Tract 5401.01,black,232.1,232.1,0.0,0.0,0.0
Census Tract 4402.01,black,250.3,282.0,0.12664802237315217,31.69999999999999,1.0
Census Tract 802.02,white,163.89999999999998,163.89999999999998,0.0,0.0,0.0
Census Tract 701.02,white,71.4,71.4,0.0,0.0,0.0
Census Tract 315.01,white,29.3,29.3,0.0,0.0,0.0
Census Tract 315.02,white,22.9,22.9,0.0,0.0,0.0
Census Tract 8349,black,241.2,241.2,0.0,0.0,0.0
Census Tract 8348,black,137.60000000000002,137.60000000000002,0.0,0.0,0.0
Census Tract 1605.02,white,212.1,212.1,0.0,0.0,0.0
Census Tract 1407.02,white,172.60000000000002,172.60000000000002,0.0,0.0,0.0
Census Tract 8420,white,144.2,144.2,0.0,0.0,0.0
Census Tract 1504.02,white,141.7,164.1,0.15808045165843337,22.400000000000006,2.0
Census Tract 8344,black,200.2,200.2,0.0,0.0,0.0
Census Tract 402.01,white,43.599999999999994,43.599999999999994,0.0,0.0,0.0
Census Tract 402.02,white,60.4,60.4,0.0,0.0,0.0
Census Tract 207.02,white,74.9,74.9,0.0,0.0,0.0
Census Tract 208.02,white,111.30000000000001,121.2,0.08894878706199452,9.899999999999991,1.0
Census Tract 203.01,white,159.4,159.4,0.0,0.0,0.0
Census Tract 8387,white,213.8,213.8,0.0,0.0,0.0
Census Tract 206.01,white,164.39999999999998,182.6,0.11070559610705608,18.200000000000017,2.0
Census Tract 8415,white,115.9,115.9,0.0,0.0,0.0
Census Tract 8386,black,105.4,105.4,0.0,0.0,0.0
Census Tract 8373,black,88.5,88.5,0.0,0.0,0.0
Census Tract 206.02,white,199.60000000000002,257.4,0.289579158316633,57.799999999999955,1.0
Census Tract 633.01,white,44.7,44.7,0.0,0.0,0.0
Census Tract 8378,black,197.20000000000002,197.20000000000002,0.0,0.0,0.0
Census Tract 8374,black,120.60000000000001,120.60000000000001,0.0,0.0,0.0
Census Tract 8369,black,105.9,105.9,0.0,0.0,0.0
Census Tract 203.02,white,143.2,201.9,0.4099162011173186,58.70000000000002,1.0
Census Tract 209.02,white,145.2,145.2,0.0,0.0,0.0
Census Tract 107.01,white,134.1,134.1,0.0,0.0,0.0
Census Tract 301.03,white,6.9,6.9,0.0,0.0,0.0
Census Tract 633.03,white,174.2,174.2,0.0,0.0,0.0
Census Tract 301.02,white,20.2,20.2,0.0,0.0,0.0
Census Tract 105.02,white,99.6,99.6,0.0,0.0,0.0
Census Tract 105.03,white,28.3,28.3,0.0,0.0,0.0
Census Tract 107.02,white,167.5,167.5,0.0,0.0,0.0
Census Tract 8371,black,184.3,184.3,0.0,0.0,0.0
Census Tract 8370,black,208.10000000000002,208.10000000000002,0.0,0.0,0.0
Census Tract 102.01,white,62.8,62.8,0.0,0.0,0.0
Census Tract 209.01,white,161.60000000000002,182.6,0.12995049504950476,20.99999999999997,1.0
Census Tract 404.01,white,67.0,67.0,0.0,0.0,0.0
Census Tract 2106.02,white,356.90000000000003,396.6,0.11123564023536,39.69999999999999,1.0
Census Tract 1605.01,white,172.5,172.5,0.0,0.0,0.0
Census Tract 1913.02,white,281.79999999999995,344.59999999999997,0.22285308729595465,62.80000000000001,3.0
Census Tract 1906.02,white,200.4,236.6,0.18063872255489016,36.19999999999999,2.0
Census Tract 8402,white,202.2,202.2,0.0,0.0,0.0
Census Tract 5305.01,black,284.1,284.1,0.0,0.0,0.0
Census Tract 207.01,white,52.8,52.8,0.0,0.0,0.0
Census Tract 8314,black,130.2,130.2,0.0,0.0,0.0
Census Tract 8313,black,349.0,367.3,0.05243553008595992,18.30000000000001,2.0
Census Tract 105.01,white,174.3,174.3,0.0,0.0,0.0
Census Tract 8330,white,167.39999999999998,167.39999999999998,0.0,0.0,0.0
Census Tract 7608.01,white,182.39999999999998,182.39999999999998,0.0,0.0,0.0
Census Tract 2521.01,black,89.6,89.6,0.0,0.0,0.0
Census Tract 2521.02,black,87.19999999999999,87.19999999999999,0.0,0.0,0.0
Census Tract 2522.02,black,117.5,174.0,0.4808510638297872,56.5,1.0
Census Tract 2206.01,white,322.1,322.1,0.0,0.0,0.0
Census Tract 2105.02,white,414.7,444.6,0.07210031347962391,29.900000000000034,1.0
Census Tract 2206.02,white,333.4,333.4,0.0,0.0,0.0
Census Tract 2209.01,white,316.1,322.70000000000005,0.020879468522619495,6.600000000000023,1.0
Census Tract 2209.02,white,356.6,363.2,0.018508132361188912,6.599999999999966,1.0
Census Tract 2004.01,white,407.1,412.7,0.013755833947432978,5.599999999999966,2.0
Census Tract 2004.02,white,343.20000000000005,376.9,0.09819347319347298,33.69999999999993,2.0
Census Tract 1913.01,white,158.8,158.8,0.0,0.0,0.0
Census Tract 1906.01,white,201.8,226.8,0.1238850346878097,25.0,1.0
Census Tract 1907.01,white,177.8,217.0,0.2204724409448818,39.19999999999999,2.0
Census Tract 1907.02,white,229.10000000000002,271.5,0.18507202095154943,42.39999999999998,2.0
Census Tract 1904.01,white,202.6,211.9,0.045903257650543,9.300000000000011,1.0
Census Tract 1904.02,white,145.60000000000002,155.2,0.06593406593406569,9.599999999999966,1.0
Census Tract 8321,white,53.2,53.2,0.0,0.0,0.0
Census Tract 8438,white,203.1,203.1,0.0,0.0,0.0
Census Tract 8428,white,267.8,328.80000000000007,0.22778192681105322,61.00000000000006,1.0
Census Tract 3515,white,209.2,209.2,0.0,0.0,0.0
Census Tract 9801,white,141.10000000000002,141.10000000000002,0.0,0.0,0.0
Census Tract 8333,white,140.0,140.0,0.0,0.0,0.0
Census Tract 8329,white,50.60000000000001,50.60000000000001,0.0,0.0,0.0
Census Tract 8380,black,108.6,108.6,0.0,0.0,0.0
Census Tract 8381,black,87.9,87.9,0.0,0.0,0.0
Census Tract 307.06,white,129.1,129.1,0.0,0.0,0.0
Census Tract 3815,black,144.70000000000002,144.70000000000002,0.0,0.0,0.0
Census Tract 8331,white,102.39999999999999,102.39999999999999,0.0,0.0,0.0
Census Tract 8391,white,80.2,80.2,0.0,0.0,0.0
Census Tract 812.01,white,82.2,82.2,0.0,0.0,0.0
Census Tract 1504.01,white,213.3,283.4,0.3286451007969994,70.09999999999997,2.0
Census Tract 1505.01,white,279.3,313.2,0.1213748657357679,33.89999999999998,2.0
Census Tract 8430,black,256.20000000000005,277.20000000000005,0.08196721311475408,21.0,1.0
Census Tract 8429,white,91.60000000000001,91.60000000000001,0.0,0.0,0.0
Census Tract 8421,black,258.2,293.1,0.13516653756777705,34.900000000000034,2.0
Census Tract 8419,white,206.30000000000004,206.30000000000004,0.0,0.0,0.0
Census Tract 802.01,white,199.1,199.1,0.0,0.0,0.0
Census Tract 701.01,white,139.0,365.09999999999997,1.626618705035971,226.09999999999997,1.0
Census Tract 404.02,white,84.0,84.0,0.0,0.0,0.0
Census Tract 2207.02,white,414.6,467.1,0.12662807525325614,52.5,3.0
Census Tract 1403.01,white,189.5,189.5,0.0,0.0,0.0
Census Tract 8422,white,297.1,310.20000000000005,0.044092898014136725,13.100000000000023,1.0
Census Tract 8437,white,175.6,279.9,0.5939635535307516,104.29999999999998,2.0
Census Tract 8350,white,364.1,558.9,0.5350178522383959,194.79999999999995,3.0
Census Tract 8423,white,208.79999999999998,282.29999999999995,0.3520114942528735,73.49999999999997,2.0
Census Tract 2302,white,170.20000000000002,170.20000000000002,0.0,0.0,0.0
Census Tract 8351,white,293.0,297.4,0.015017064846416305,4.399999999999977,2.0
Census Tract 8347,black,203.70000000000002,203.70000000000002,0.0,0.0,0.0
Census Tract 1510.01,white,142.9,142.9,0.0,0.0,1.0
Census Tract 1510.02,white,171.70000000000002,192.9,0.12347117064647634,21.19999999999999,2.0
Census Tract 1606.02,white,117.0,117.0,0.0,0.0,0.0
Census Tract 1406.01,white,248.70000000000002,248.70000000000002,0.0,0.0,0.0
Census Tract 1407.01,white,146.0,146.0,0.0,0.0,0.0
Census Tract 1406.02,white,213.50000000000003,213.50000000000003,0.0,0.0,0.0
Census Tract 3905,black,147.8,147.8,0.0,0.0,0.0
Census Tract 8418,black,160.2,160.2,0.0,0.0,0.0
Census Tract 8425,black,112.6,155.0,0.37655417406749564,42.400000000000006,1.0
Census Tract 8426,white,178.3,178.3,0.0,0.0,0.0
Census Tract 8435,white,177.50000000000003,177.50000000000003,0.0,0.0,0.0
Census Tract 8434,white,75.0,75.0,0.0,0.0,0.0
Census Tract 1403.02,white,220.5,220.5,0.0,0.0,0.0
Census Tract 1105.01,white,222.70000000000002,263.1,0.1814099685675797,40.400000000000006,1.0
Census Tract 3904,black,103.0,103.0,0.0,0.0,0.0
Census Tract 8432,white,273.4,273.4,0.0,0.0,0.0
Census Tract 8408,white,252.6,265.9,0.05265241488519392,13.299999999999983,1.0
Census Tract 1105.02,white,280.5,342.29999999999995,0.2203208556149731,61.799999999999955,2.0
Census Tract 7608.02,white,197.2,197.2,0.0,0.0,0.0
Census Tract 1505.02,white,197.0,228.40000000000003,0.1593908629441626,31.400000000000034,3.0
Census Tract 8431,white,44.7,44.7,0.0,0.0,0.0
Census Tract 8343,black,150.5,150.5,0.0,0.0,0.0
Census Tract 8439,black,53.8,53.8,0.0,0.0,0.0
Census Tract 8312,white,342.9,355.7,0.03732866724992713,12.800000000000011,1.0
Census Tract 8316,white,71.6,71.6,0.0,0.0,0.0
Census Tract 8315,white,118.19999999999999,190.60000000000002,0.6125211505922169,72.40000000000003,1.0
Census Tract 8311,white,418.8,485.70000000000005,0.1597421203438396,66.90000000000003,2.0
Census Tract 8317,white,215.4,268.3,0.24558960074280412,52.900000000000006,4.0
Census Tract 2715,black,225.0,225.0,0.0,0.0,0.0
Census Tract 4402.02,black,317.3,317.3,0.0,0.0,0.0
Census Tract 4401.02,black,254.8,254.8,0.0,0.0,0.0
Census Tract 307.02,white,72.1,212.5,1.9472954230235786,140.4,2.0
Census Tract 306.03,white,80.9,88.0,0.08776266996291711,7.099999999999994,1.0
Census Tract 307.01,white,173.7,182.39999999999998,0.05008635578583759,8.699999999999989,1.0
Census Tract 8363,black,90.2,90.2,0.0,0.0,0.0
Census Tract 8383,white,159.4,177.0,0.11041405269761602,17.599999999999994,1.0
Census Tract 8398,white,385.0,385.0,0.0,0.0,0.0
Census Tract 8366,black,84.1,84.1,0.0,0.0,0.0
Census Tract 7302.02,black,183.3,183.3,0.0,0.0,0.0
Census Tract 4301.01,black,201.4,201.4,0.0,0.0,0.0
Census Tract 633.02,white,312.7,312.7,0.0,0.0,0.0
Census Tract 8362,black,40.3,40.3,0.0,0.0,0.0
Census Tract 714,white,191.7,191.7,0.0,0.0,0.0
Census Tract 8401,white,444.1,444.1,0.0,0.0,0.0
Census Tract 5805.02,white,338.1,365.1,0.07985803016858917,27.0,1.0
Census Tract 8414,white,133.0,133.0,0.0,0.0,0.0
Census Tract 814.01,white,7.2,7.2,0.0,0.0,0.0
Census Tract 814.03,white,97.2,97.2,0.0,0.0,0.0
Census Tract 307.03,white,135.5,146.0,0.07749077490774908,10.5,1.0
Census Tract 8360,black,145.29999999999998,145.29999999999998,0.0,0.0,0.0
Census Tract 8358,black,150.0,150.0,0.0,0.0,0.0
Census Tract 8359,black,244.3,244.3,0.0,0.0,0.0
Census Tract 8345,black,126.9,126.9,0.0,0.0,0.0
Census Tract 8436,black,68.69999999999999,68.69999999999999,0.0,0.0,0.0
Census Tract 5805.01,white,391.30000000000007,391.30000000000007,0.0,0.0,0.0
Census Tract 8346,black,94.29999999999998,94.29999999999998,0.0,0.0,0.0
Census Tract 8318,white,315.5,315.5,0.0,0.0,0.0
Census Tract 716,white,249.8,249.8,0.0,0.0,0.0
Census Tract 8326,white,298.90000000000003,317.9,0.06356641017062543,18.999999999999943,1.0
Census Tract 619.01,white,325.29999999999995,325.29999999999995,0.0,0.0,0.0
Census Tract 8399,white,308.7,308.7,0.0,0.0,0.0
Census Tract 301.04,white,220.89999999999998,329.2,0.49026708918062484,108.30000000000001,3.0
Census Tract 8397,white,409.19999999999993,409.19999999999993,0.0,0.0,0.0
Census Tract 8352,white,590.8000000000001,754.0,0.27623561272850355,163.19999999999993,4.0
Census Tract 8339,black,183.7,183.7,0.0,0.0,0.0
Census Tract 8368,black,251.60000000000002,252.30000000000004,0.0027821939586646144,0.700000000000017,1.0
Census Tract 8388,black,471.3,471.3,0.0,0.0,0.0
Census Tract 8367,black,106.9,106.9,0.0,0.0,0.0
Census Tract 8322,white,220.8,239.8,0.08605072463768115,19.0,1.0
Census Tract 2522.01,black,245.60000000000002,245.60000000000002,0.0,0.0,0.0
Census Tract 8310,white,147.5,166.5,0.1288135593220339,19.0,1.0
Census Tract 8324,white,178.2,201.8,0.13243546576879925,23.600000000000023,1.0
Census Tract 701.03,white,287.4,305.29999999999995,0.06228253305497557,17.899999999999977,1.0
Census Tract 2207.01,white,380.1,380.1,0.0,0.0,0.0
Census Tract 8416,white,108.9,108.9,0.0,0.0,0.0
Census Tract 6603.01,white,467.19999999999993,584.0999999999999,0.2502140410958904,116.89999999999998,2.0
Census Tract 6603.02,white,515.1,593.6,0.1523975927004465,78.5,2.0
Census Tract 3018.02,white,145.7,146.3,0.004118050789293224,0.6000000000000227,1.0
Census Tract 8340,black,434.0,434.0,0.0,0.0,0.0
Census Tract 8342,black,46.7,46.7,0.0,0.0,0.0
Census Tract 7302.01,black,616.7,644.8000000000001,0.04556510458894117,28.100000000000023,2.0
Census Tract 8355,white,234.8,234.8,0.0,0.0,0.0
Census Tract 8395,white,352.29999999999995,352.29999999999995,0.0,0.0,0.0
Census Tract 8392,white,441.0,450.5,0.021541950113378686,9.5,1.0
Census Tract 5305.02,black,246.89999999999998,246.89999999999998,0.0,0.0,0.0
Census Tract 8404,white,272.5,272.5,0.0,0.0,0.0
Census Tract 8410,white,407.0,407.0,0.0,0.0,0.0
Census Tract 301.01,white,194.7,309.0,0.5870570107858244,114.30000000000001,3.0
Census Tract 7003.02,black,959.5999999999999,974.2,0.015214672780325279,14.600000000000136,1.0
Census Tract 7004.02,black,889.6,966.0999999999999,0.08599370503597109,76.49999999999989,2.0
Census Tract 7004.01,black,850.1999999999999,864.8,0.01717243001646674,14.600000000000023,1.0
Census Tract 8305,white,281.5,300.70000000000005,0.06820603907637672,19.200000000000045,1.0
Census Tract 8417,white,83.8,83.8,0.0,0.0,0.0
Census Tract 6401,white,733.3000000000001,863.6000000000001,0.17768989499522714,130.30000000000007,3.0
Census Tract 8407,white,51.6,51.6,0.0,0.0,0.0
Census Tract 8413,white,195.3,195.79999999999998,0.0025601638504862854,0.4999999999999716,1.0
Census Tract 3018.01,white,143.3,234.89999999999998,0.6392184228890436,91.59999999999997,1.0
Census Tract 608,white,202.9,218.5,0.0768851651059635,15.599999999999994,2.0
Census Tract 8323,white,216.39999999999998,235.39999999999998,0.08780036968576711,19.0,1.0
Census Tract 8325,white,302.4,321.4,0.06283068783068783,19.0,1.0
Census Tract 8320,white,291.40000000000003,291.40000000000003,0.0,0.0,0.0
Census Tract 1606.01,white,91.6,91.6,0.0,0.0,0.0
Census Tract 2105.01,white,359.7,426.6,0.1859883236030026,66.90000000000003,2.0
Census Tract 2106.01,white,383.40000000000003,405.09999999999997,0.056598852373500076,21.699999999999932,2.0
Census Tract 813,white,50.5,50.5,0.0,0.0,0.0
