,race,distance,restricted_distance,rdiff,adiff,n_cameras
Census Tract 8424,black,540.6444444444444,569.0166666666668,5.247852357269132,28.372222222222376,2
Census Tract 8403,white,543.435294117647,561.5058823529412,3.3252511257360675,18.070588235294167,0
Census Tract 8411,white,424.89375,427.76874999999995,0.6766397481723239,2.874999999999943,0
Census Tract 8412,white,426.0555555555555,440.8833333333333,3.4802451427826466,14.82777777777784,0
Census Tract 8390,white,359.01666666666665,364.7388888888889,1.5938597712888618,5.7222222222222285,0
Census Tract 8382,black,298.9,301.65000000000003,0.9200401472064426,2.750000000000057,0
Census Tract 6503.01,white,606.9210526315788,677.1894736842105,11.577851970688997,70.26842105263165,5
Census Tract 5305.03,black,618.13,652.855,5.617750311423167,34.72500000000002,1
Census Tract 7608.03,white,630.3058823529412,667.4176470588236,5.887897566074363,37.111764705882365,2
Census Tract 306.01,white,326.78235294117644,375.8705882352941,15.02169099778591,49.08823529411768,1
Census Tract 306.04,white,313.1294117647059,448.2352941176471,43.14697926059514,135.1058823529412,0
Census Tract 208.01,white,416.17647058823536,459.92941176470595,10.513074204946994,43.752941176470586,2
Census Tract 5401.02,black,604.8105263157894,615.6526315789473,1.7926449344727404,10.842105263157919,0
Census Tract 8433,white,400.1277777777778,410.94444444444446,2.7033031115060457,10.816666666666663,0
Census Tract 5401.01,black,502.69000000000005,508.48,1.1518032982553785,5.789999999999964,0
Census Tract 4402.01,black,479.10555555555555,499.9555555555556,4.351859367571522,20.850000000000023,1
Census Tract 802.02,white,439.9611111111111,461.0055555555555,4.783251044915568,21.044444444444366,1
Census Tract 701.02,white,410.3058823529412,435.3,6.091581603394887,24.99411764705883,0
Census Tract 315.01,white,300.55,331.2111111111111,10.201667313628713,30.661111111111097,0
Census Tract 315.02,white,283.6666666666667,306.53333333333336,8.061104582843717,22.866666666666674,0
Census Tract 8349,black,607.2333333333332,623.8166666666667,2.73096558159963,16.583333333333485,0
Census Tract 8348,black,464.93888888888887,478.27777777777777,2.86895529878479,13.338888888888903,0
Census Tract 1605.02,white,462.2555555555555,518.6444444444445,12.198639521188408,56.38888888888903,3
Census Tract 1407.02,white,464.6555555555555,500.6611111111111,7.748870130801796,36.00555555555559,3
Census Tract 8420,white,458.1941176470589,461.47058823529414,0.7150835119972216,3.27647058823527,0
Census Tract 1504.02,white,593.0631578947368,647.7684210526317,9.224188424060644,54.70526315789482,1
Census Tract 8344,black,334.5111111111111,348.6166666666667,4.21676742177639,14.105555555555554,1
Census Tract 402.01,white,394.18888888888887,433.7055555555556,10.024804803111886,39.51666666666671,2
Census Tract 402.02,white,418.3875,468.26874999999995,11.922261061814696,49.881249999999966,2
Census Tract 207.02,white,382.44117647058823,404.62941176470594,5.801738060447604,22.188235294117703,2
Census Tract 208.02,white,464.475,509.61875,9.719306744173519,45.143749999999955,4
Census Tract 203.01,white,543.8470588235294,586.0294117647059,7.7562896142946665,42.18235294117642,4
Census Tract 8387,white,410.77777777777777,426.5222222222222,3.8328374357587154,15.744444444444412,0
Census Tract 206.01,white,362.54705882352937,405.94117647058823,11.969237259260474,43.39411764705886,3
Census Tract 8415,white,442.45000000000005,447.29999999999995,1.0961690586506745,4.849999999999909,0
Census Tract 8386,black,417.2352941176471,426.24705882352947,2.1598759340194666,9.011764705882399,0
Census Tract 8373,black,397.29999999999995,400.27222222222224,0.7481052661017583,2.9722222222222854,0
Census Tract 206.02,white,371.1529411764706,401.6823529411765,8.225561049828825,30.529411764705856,1
Census Tract 633.01,white,425.77058823529404,444.16470588235296,4.320194526187835,18.39411764705892,1
Census Tract 8378,black,344.1055555555556,358.47777777777776,4.176689969163188,14.372222222222149,0
Census Tract 8374,black,332.37222222222226,340.65000000000003,2.490514316278601,8.277777777777771,0
Census Tract 8369,black,414.98333333333335,418.18888888888887,0.7724540476859763,3.20555555555552,0
Census Tract 203.02,white,405.67058823529413,436.49999999999994,7.599617191578196,30.82941176470581,5
Census Tract 209.02,white,331.05294117647054,350.2,5.783684855807684,19.14705882352945,0
Census Tract 107.01,white,446.29333333333335,478.75333333333333,7.273243307839383,32.45999999999998,5
Census Tract 301.03,white,479.12666666666667,524.8333333333334,9.53957895615635,45.706666666666706,6
Census Tract 633.03,white,460.72352941176473,480.94117647058823,4.388238448476176,20.217647058823502,0
Census Tract 301.02,white,332.9294117647059,380.83529411764704,14.389201031838573,47.90588235294115,1
Census Tract 105.02,white,424.6882352941177,447.2764705882353,5.318780558748972,22.588235294117624,3
Census Tract 105.03,white,386.42941176470595,404.3705882352942,4.6428082139649565,17.941176470588232,2
Census Tract 107.02,white,421.0941176470588,434.5764705882353,3.201743357639766,13.482352941176487,3
Census Tract 8371,black,471.2611111111112,475.97222222222223,0.9996817051174617,4.711111111111052,0
Census Tract 8370,black,393.5470588235294,400.2647058823529,1.706948866269069,6.717647058823502,0
Census Tract 102.01,white,389.2470588235294,412.3705882352941,5.940579096898991,23.123529411764707,1
Census Tract 209.01,white,394.5882352941176,436.7588235294118,10.687239117471695,42.17058823529419,0
Census Tract 404.01,white,387.91111111111115,431.5111111111111,11.239688359303383,43.599999999999966,1
Census Tract 2106.02,white,535.40625,583.40625,8.96515496410436,48.0,2
Census Tract 1605.01,white,452.91666666666674,493.28333333333325,8.912603495860127,40.366666666666504,3
Census Tract 1913.02,white,627.5764705882353,676.6529411764704,7.81999850029991,49.07647058823511,8
Census Tract 1906.02,white,625.1684210526315,676.1,8.146857267936234,50.93157894736851,3
Census Tract 8402,white,445.375,450.14375,1.0707269155206312,4.768750000000011,0
Census Tract 5305.01,black,711.615,741.9399999999999,4.2614334998559515,30.324999999999932,0
Census Tract 207.01,white,429.6647058823529,472.1764705882353,9.894171926125718,42.5117647058824,2
Census Tract 8314,black,463.90000000000003,481.6421052631578,3.824553839870183,17.742105263157782,0
Census Tract 8313,black,546.4055555555556,594.25,8.756214858723169,47.844444444444434,2
Census Tract 105.01,white,449.9,468.9647058823529,4.237542983408078,19.06470588235294,3
Census Tract 8330,white,367.62777777777774,372.1722222222222,1.236153718283902,4.54444444444448,0
Census Tract 7608.01,white,517.8833333333333,552.9333333333334,6.767933575773193,35.05000000000007,2
Census Tract 2521.01,black,474.82,495.14000000000016,4.279516448338352,20.320000000000164,4
Census Tract 2521.02,black,449.0631578947369,467.9157894736842,4.198213825273653,18.852631578947296,4
Census Tract 2522.02,black,426.8388888888889,450.7611111111112,5.60450859679037,23.922222222222274,0
Census Tract 2206.01,white,536.4823529411765,580.0294117647059,8.117146553803636,43.54705882352937,3
Census Tract 2105.02,white,542.8444444444444,602.7388888888889,11.033445226788942,59.8944444444445,6
Census Tract 2206.02,white,551.2866666666666,594.22,7.787841776208397,42.933333333333394,6
Census Tract 2209.01,white,589.7555555555555,629.3166666666666,6.708052300388112,39.56111111111113,3
Census Tract 2209.02,white,734.661111111111,767.0111111111112,4.403390830239207,32.350000000000136,2
Census Tract 2004.01,white,615.5722222222223,672.3944444444444,9.2307970000812,56.82222222222208,8
Census Tract 2004.02,white,592.4444444444445,657.1777777777778,10.926481620405104,64.73333333333335,8
Census Tract 1913.01,white,526.157894736842,561.8315789473684,6.780034010203079,35.6736842105264,2
Census Tract 1906.01,white,653.7842105263157,706.936842105263,8.129996216359807,53.15263157894731,2
Census Tract 1907.01,white,618.3684210526314,675.5842105263158,9.252702357647486,57.21578947368437,6
Census Tract 1907.02,white,659.5052631578948,712.4052631578949,8.02116419006274,52.90000000000009,3
Census Tract 1904.01,white,657.9611111111112,707.3388888888888,7.5046650849002985,49.377777777777624,6
Census Tract 1904.02,white,859.0176470588236,926.4823529411765,7.853704299713068,67.46470588235286,6
Census Tract 8321,white,386.22777777777776,420.94444444444446,8.988650911235464,34.7166666666667,0
Census Tract 8438,white,441.21111111111117,445.688888888889,1.0148832758316841,4.477777777777817,0
Census Tract 8428,white,580.2578947368422,615.3368421052631,6.045406307540182,35.07894736842093,1
Census Tract 3515,white,457.35294117647055,461.2882352941176,0.8604501607717048,3.935294117647061,0
Census Tract 9801,white,543.0894736842106,600.8263157894738,10.631184160795462,57.736842105263236,0
Census Tract 8333,white,366.21666666666664,371.4277777777778,1.422958479345879,5.211111111111165,0
Census Tract 8329,white,345.82500000000005,349.45000000000005,1.0482180293501047,3.625,0
Census Tract 8380,black,312.5444444444445,321.65555555555557,2.915140957730448,9.111111111111086,0
Census Tract 8381,black,327.31666666666666,329.4,0.6364886195834761,2.0833333333333144,0
Census Tract 307.06,white,380.2235294117647,415.81176470588235,9.35981930133978,35.58823529411768,0
Census Tract 3815,black,456.13125,458.8375,0.5933051068086114,2.7062499999999545,0
Census Tract 8331,white,338.3666666666667,348.26666666666665,2.925820116244698,9.899999999999977,0
Census Tract 8391,white,338.57222222222225,345.5666666666666,2.0658648245081204,6.994444444444355,0
Census Tract 812.01,white,418.76666666666665,428.47222222222223,2.317652365411664,9.705555555555577,1
Census Tract 1504.01,white,497.7722222222223,565.2500000000001,13.555954865567701,67.47777777777782,3
Census Tract 1505.01,white,526.3722222222223,588.9388888888889,11.886392181282773,62.566666666666606,2
Census Tract 8430,black,429.5625,456.38124999999997,6.243270769678444,26.818749999999966,0
Census Tract 8429,white,379.0941176470588,381.19411764705876,0.5539521459826742,2.099999999999966,0
Census Tract 8421,black,479.44210526315777,534.5315789473684,11.490328671482233,55.089473684210645,1
Census Tract 8419,white,351.6722222222222,357.6611111111111,1.7029746765453917,5.98888888888888,0
Census Tract 802.01,white,423.0888888888889,448.0611111111112,5.90235831713852,24.972222222222285,0
Census Tract 701.01,white,487.1411764705882,652.7764705882353,34.00149733136909,165.63529411764705,0
