,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 8403,white,684.660643127557,684.7178842230038,8.360506189651055e-05,0.05724109544678413,1.0
Census Tract 8411,white,332.4733355588202,332.57043634635795,0.0002920558647944505,0.09710078753772677,0.058700310526670595
Census Tract 8412,white,501.1104427078906,503.0550511473926,0.003880598514358883,1.9446084395019625,0.35191930912110553
Census Tract 8390,white,430.9291961227552,487.2904845359097,0.13079013657060115,56.36128841315451,1.1380527325900303
Census Tract 6503.01,white,416.1303459066643,443.016239501315,0.0646093077784841,26.885893594650724,1.4774347308284572
Census Tract 306.01,white,607.3090286933143,662.1584904199842,0.09031557104409263,54.849461726669915,1.2061142130890146
Census Tract 306.04,white,678.8662109970448,696.7365860369262,0.0263238540236599,17.87037503988131,0.8593747312379771
Census Tract 208.01,white,589.8464283881685,640.0908146294048,0.0851821488154731,50.24438624123627,1.709978894962902
Census Tract 5401.02,black,629.1750127976211,632.8730754843727,0.0058776375595531866,3.698062686751655,0.4793187103282529
Census Tract 4402.01,black,522.2704670842272,524.0485024041446,0.0034044339704750633,1.7780353199174215,0.029594042943398676
Census Tract 802.02,white,282.53040365247256,286.83644656952424,0.015240989505498835,4.306042917051684,0.6064993069265712
Census Tract 701.02,white,485.02199220704665,519.5769868745143,0.07124418113543354,34.55499466746767,2.045165341226447
Census Tract 315.01,white,922.0508046577149,927.3766047028048,0.0057760375222132305,5.3258000450898635,0.6247097864660913
Census Tract 315.02,white,663.5474432692758,665.3660410347082,0.002740720025191011,1.8185977654324006,0.22241380844504627
Census Tract 1605.02,white,614.725756064588,660.2587077724392,0.07407034967812062,45.53295170785111,2.0
Census Tract 1407.02,white,744.286232071047,759.1650001395842,0.019990653363472256,14.87876806853717,0.8369093506871949
Census Tract 1504.02,white,588.0315439744817,628.3902350470985,0.0686335477852668,40.35869107261681,2.923267473798289
Census Tract 8344,black,330.2466710476492,342.9407035565639,0.03843803320907101,12.694032508914688,0.6348158603603908
Census Tract 402.01,white,684.0289574833364,725.1934491298036,0.0601794576035475,41.16449164646724,2.187534884357246
Census Tract 402.02,white,558.7465626445628,615.9443253147923,0.10236799023784761,57.19776267022951,2.147544752708533
Census Tract 207.02,white,346.4001687862125,356.58784500059267,0.02941013640402615,10.18767621438019,0.75
Census Tract 208.02,white,619.6903352427966,674.6319767759104,0.08865983283664985,54.94164153311385,2.778800961829556
Census Tract 203.01,white,1254.7847448283733,1291.3882732173834,0.02917116146006113,36.60352838901008,5.0
Census Tract 8387,white,507.8897040021101,523.9117499374348,0.03154630977764057,16.02204593532474,0.3333333333333333
Census Tract 206.01,white,383.6376631565854,424.52230809745305,0.10657098837602966,40.884644940867645,2.28958803790778
Census Tract 8415,white,600.1417354795914,605.6674579651191,0.009207362459322918,5.5257224855276945,1.0
Census Tract 8386,black,181.60367663820375,185.59604446557802,0.021983959252807314,3.9923678273742667,0.6000000000000001
Census Tract 206.02,white,792.0858618699498,817.9548350736999,0.032659304311629604,25.8689732037501,2.2750945308416064
Census Tract 633.01,white,526.3200456008449,548.2935859272845,0.04174938900788921,21.97354032643966,1.7420717166012256
Census Tract 8378,black,342.1779228547558,346.5873838562711,0.012886456743695237,4.409461001515297,0.5
Census Tract 8369,black,488.10743934133177,490.5891445100491,0.005084342029423318,2.481705168717326,0.8325711282332502
Census Tract 107.01,white,777.7367829832384,804.8655493112618,0.03488168095118638,27.128766328023403,1.2883740754038984
Census Tract 301.03,white,844.7844019661802,918.1745782130167,0.0868744452146911,73.39017624683652,1.1666666666666665
Census Tract 301.02,white,948.7656208177739,1028.8426555718752,0.08440128204169133,80.0770347541013,1.617463352945772
Census Tract 105.02,white,510.3537782040413,539.7354255622852,0.05757113714654813,29.381647358243868,1.7000875578100245
Census Tract 105.03,white,200.07900171246862,204.35892055672642,0.02139114453603891,4.279918844257793,0.27569495284840106
Census Tract 8371,black,482.75271439496737,485.5155756377312,0.0057231397367211775,2.7628612427638473,0.5
Census Tract 8370,black,203.91823144671608,215.32198092008383,0.05592314817788893,11.403749473367753,0.5264685189805312
Census Tract 102.01,white,964.4976686505931,993.3319513178941,0.029895647863661865,28.834282667300954,2.04082170571403
Census Tract 404.01,white,517.6600573653407,550.8567465968657,0.06412835751802337,33.196689231525056,1.714424824455709
Census Tract 1605.01,white,409.0953320608726,450.7372766687522,0.10179031962575262,41.64194460787962,1.4324871572209341
Census Tract 1906.02,white,1033.316763228062,1129.6800750294867,0.09325631329195472,96.36331180142474,4.05425344903374
Census Tract 8314,black,487.91939916210924,488.1341918084351,0.0004402215749050334,0.21479264632586137,0.09289986325242024
Census Tract 105.01,white,802.5136937018683,834.9150399096937,0.040374820345261866,32.40134620782544,1.8524694835762516
Census Tract 8330,white,341.46950997853435,354.1345478512634,0.03708980597865151,12.665037872729044,0.3304146809343218
Census Tract 2521.02,black,538.5379774700481,550.371140456471,0.021972754905815513,11.833162986422963,0.5
Census Tract 2522.02,black,911.9545706218717,1069.7045916722159,0.17298013095408118,157.75002105034423,10.0
Census Tract 2206.01,white,464.99929784104756,504.8987204319683,0.08580533944066232,39.89942259092072,2.1978176166947785
Census Tract 2105.02,white,405.38068328236284,434.32203125369426,0.07139301196345532,28.941347971331425,1.0922065120249103
Census Tract 2206.02,white,613.0579287623751,647.6558572079886,0.05643500690947559,34.597928445613434,2.92182790081791
Census Tract 2209.01,white,401.99394425780156,417.05011930821945,0.03745373597161021,15.056175050417892,1.0
Census Tract 2004.01,white,600.4242097228173,646.1578355343906,0.07616885706971416,45.73362581157335,1.5
Census Tract 1913.01,white,853.3419415227575,957.6003856130801,0.12217663168445381,104.25844409032266,3.0
Census Tract 1906.01,white,584.0465109524614,657.680608434245,0.12607574242965902,73.63409748178356,3.293057795469271
Census Tract 1907.01,white,1224.2683583512767,1363.2062891199084,0.1134864997701481,138.93793076863176,6.0
Census Tract 1904.02,white,636.442194926256,674.3048840234479,0.059491167303228634,37.86268909719195,3.5393890673517925
Census Tract 8321,white,526.3449879438313,540.9648216368487,0.027776143077052683,14.619833693017426,0.5515814630708638
Census Tract 8428,white,233.78820286450934,237.99499576980742,0.0179940341460946,4.206792905298073,0.3333333333333333
Census Tract 8333,white,211.04969046147306,211.4622099139953,0.001954608185495311,0.41251945252224687,0.04332012706290713
Census Tract 8329,white,325.7940795407775,343.7001375320711,0.05496127497630731,17.906057991293608,0.2867626671010465
Census Tract 8381,black,187.69006530184606,187.9167316443491,0.0012076629742683673,0.2266663425030515,0.0735277105199524
Census Tract 307.06,white,758.2968061547489,774.2239277211564,0.02100380937534535,15.92712156640755,1.0
Census Tract 3815,black,828.3014471344018,943.6253245729649,0.13922935645897827,115.32387743856316,1.2188196469774102
Census Tract 8331,white,265.06990562961676,270.6601280978469,0.021089615793810173,5.590222468230138,0.6157398835846569
Census Tract 8391,white,255.18056848128975,258.2742000651072,0.01212330391075324,3.093631583817455,0.17375784954766554
Census Tract 812.01,white,209.5716046102492,210.91962896339297,0.006432285307213946,1.3480243531437566,0.15282927569416666
Census Tract 1504.01,white,397.82083484646387,505.47453154279964,0.2706084932376253,107.65369669633577,1.306606465658308
Census Tract 8421,black,658.7630436144855,735.8080653425967,0.11695407396471794,77.04502172811124,2.1398085999747307
Census Tract 8419,white,294.3218810564625,302.0924306193517,0.026401535404017577,7.770549562889244,0.3906997623941853
Census Tract 802.01,white,401.9851765320563,412.8637579217003,0.0270621456330654,10.878581389644012,0.6961968655785609
Census Tract 701.01,white,587.5164044141582,775.3077001852542,0.3196358337574457,187.7912957710961,1.2524280781397588
Census Tract 404.02,white,537.6763031023495,564.1203308872714,0.04918205922846509,26.4440277849219,1.3258731155112051
